ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780761125181,$2.00,"260,846",0.746750855,"177,944",3.368902052,"260,212",-1.962094528,"183,864",0.077905472,"182,157",-0.338594528,"452,296",-1.571094528,"300,752",0.358405472,"276,978",154.080905472,-1,-7.912094528,"295,810",2.432405472
9780761155256,$1.50,"248,125",-0.59447854,"272,068",2.064551504,"554,106",-0.788362656,"275,001",-3.805862656,"285,586",1.132637344,"134,416",-0.473862656,"213,504",1.532137344,"124,997",115.772137344,"399,578",-6.738362656,"214,526",-6.738362656
9781402774188,$2.00,"1,865,140",-6.4058927,"2,686,682",-6.66824248,-1,-7.41781328,-1,-7.41781328,-1,-7.41781328,-1,-7.41781328,-1,-7.41781328,-1,-7.41781328,-1,-7.41781328,-1,-7.41781328
9781250060747,$5.50,"522,244",8.50362876,"817,012",11.911809024,"1,492,453",-0.964175936,"1,149,869",2.036324064,-1,5.606324064,-1,6.286324064,-1,6.294824064,-1,-11.937675936,"1,017,216",-11.937675936,"691,353",15.916824064
9781783938988,$3.00,-1,-9.953361295,-1,-10.562167108,-1,-12.301612288,-1,-12.301612288,-1,-12.301612288,-1,-12.301612288,-1,-12.301612288,-1,-12.301612288,-1,-12.301612288,-1,4.239387712
9780743255387,$3.50,"463,896",-1.0517854,"407,934",1.21151504,"2,841,866",-7.41912656,"1,934,880",-3.37312656,"2,374,615",-6.46712656,"537,640",-6.55212656,-1,-6.51812656,-1,181.07687344,-1,-12.41712656,"2,386,824",-12.41712656
9780743293211,$3.50,"281,113",3.58123271,"142,639",5.324858504,"4,891,411",1.062289344,"2,472,175",-0.051210656,"2,255,093",2.949289344,-1,0.577789344,-1,2.320289344,-1,197.259289344,"1,027,005",-8.840210656,-1,-8.840210656
9780684829647,$3.50,"576,972",2.40631855,"437,811",4.50106452,"8,825,790",-2.40116128,"2,442,350",-3.31916128,"2,470,449",-0.46316128,"1,493,548",-12.09966128,-1,-12.09966128,-1,228.84983872,-1,-12.09966128,-1,-12.09966128
9780062430038,$2.00,"741,620",1.01327563,"405,283",9.179961512,"1,474,704",1.515064032,"336,217",1.192064032,"239,874",1.982564032,-1,3.334064032,"384,353",2.169564032,"188,580",162.870564032,-1,-8.599935968,-1,8.757064032
9780545823418,$2.00,"2,273,489",2.118909275,-1,2.74128226,-1,-0.71408064,-1,-0.69708064,-1,0.67141936,-1,0.60341936,-1,0.60341936,-1,-7.25908064,-1,-7.25908064,-1,3.17041936
9780545849388,$1.50,"2,399,300",-3.161874555,-1,-6.090198932,-1,-6.709697152,-1,-6.709697152,-1,-6.709697152,-1,-6.709697152,-1,-6.709697152,-1,-6.709697152,-1,-6.709697152,-1,-6.709697152
9780765390875,$2.75,"956,397",3.118219485,-1,10.868026764,"2,524,480",-0.227095296,"1,497,820",1.039404704,-1,0.019404703999999,-1,1.115904704,-1,1.200904704,-1,202.871904704,-1,-7.367095296,-1,6.071404704
9780310348863,$3.25,"332,965",4.88862876,"484,798",9.197809024,"1,953,066",1.362324064,"419,786",-0.218675936,"926,141",5.654824064,-1,3.538324064,"1,021,034",3.538324064,-1,266.052324064,-1,-9.687675936,-1,8.434324064
9781447294610,$1.25,"3,067,747",-0.786295345,-1,-6.644008828,"247,720",-0.103690208,-1,0.856809792,-1,1.927809792,-1,1.791809792,-1,1.791809792,-1,177.801309792,-1,-7.303190208,-1,3.270809792
9780374521387,$2.00,-1,-6.217948845,"146,303",5.082447624,"428,292",-0.611306336,"210,019",2.788693664,"204,273",2.635693664,"239,753",1.632693664,"867,296",2.414693664,-1,-8.261306336,"179,744",-8.261306336,"352,481",5.440693664
9780399174469,$3.25,"536,278",13.37317168,"318,800",-8.968087968,"1,572,614",-10.167401248,"821,105",10.232598752,"604,741",10.912598752,-1,9.663098752,"120,628",-7.115901248,-1,-10.167401248,"1,066,172",-10.167401248,"888,627",-10.167401248
9781481442060,$1.50,"5,908,006",0.0013218650000004,-1,10.583072476,-1,1.292859936,-1,-0.925640064,-1,3.341359936,-1,2.669859936,-1,2.669859936,-1,-10.547640064,-1,-10.547640064,-1,7.795359936
9781783930036,$2.00,-1,-6.217948845,0,-6.21,0,-6.21,0,-6.21,0,-6.21,0,-6.21,0,-6.21,0,-6.21,0,-6.21,0,-6.21
9781599909585,$3.25,"2,422,674",1.06157101,"1,598,779",6.454170424,"5,345,878",1.236954464,"3,540,105",0.369954464,-1,2.996454464,-1,3.361954464,-1,2.528954464,-1,187.956454464,-1,-9.864045536,-1,7.909454464
9781780655345,$2.00,"Invalid ISBN Provided"
