ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9781408176030,$10.00,"1,640,554",40.571,"272,570",-6.3185,"838,696",26.59,"1,033,348",18.821,"240,885",21.9065,"421,357",29.1655,"827,599",21.898,0,-5.96,"256,112",-7.4185,"1,729,544",38.082
9780310729709,$11.00,"2,146,846",-6.4585,-1,-6.7085,"7,503,970",-7.8085,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
9780718089412,$10.49,"60,389",13.7715,"50,579",20.0155,"2,869,321",13.45,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,-1,23.3865
9780310439165,$14.00,"1,270,170",-6.4585,"858,359",-6.7085,"1,667,726",-7.8085,"752,721",-7.8085,-1,-7.8085,"1,419,024",-7.8085,-1,-7.8085,0,-5.96,0,-5.96,"1,097,863",-7.8085
9780310443940,$14.00,"2,332,512",17.5955,"1,900,789",31.3195,"1,378,747",22.34,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
9780310444008,$10.49,"712,133",20.7065,"396,639",22.2925,"659,061",13.84,"350,460",11.715,0,-5.96,0,-5.96,"875,359",15.676,-1,426.566,"121,058",-7.4185,-1,20.13
9780310432180,$10.00,"1,096,847",17.6475,"216,898",-6.7085,"1,804,888",11.7415,0,-5.96,0,-5.96,-1,14.0535,-1,14.9205,-1,-7.8085,0,-5.96,-1,25.588
9780310432302,$10.00,"582,944",-6.0685,"444,705",-6.3185,"993,244",-7.4185,"778,825",-7.4185,"371,742",-7.4185,"622,436",-7.4185,-1,-7.4185,-1,495.161,0,-5.96,"474,906",-7.4185
9781782096962,$13.00,-1,-4.6185,0,-4.86,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
9781481481090,$15.00,"1,539,097",16.9165,"2,516,960",32.0685,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96,0,-5.96
9781427280626,$10.49,"1,424,672",25.169,"2,149,925",42.718,"2,578,611",48.129,"1,578,769",11.783,-1,23.5555,-1,50.2285,-1,39.612,-1,-7.4185,-1,-7.4185,0,-5.96
9781416560784,$10.00,"181,732",24.8925,"35,521",21.37,"777,905",15.204,"55,921",9.407,"550,914",22.412,"363,001",19.1395,"321,790",24.095,"148,447",468.917,"250,871",-8.9785,"1,025,243",-8.9785
