UPC:,Unit Price
859421005121,$2.50
859421005152,$3.00
859421005145,$3.50
859421005701,$243.75
859421005114,$5.00
859421005534,$2.50
859421005527,$3.00
859421005541,$3.00
859421005510,$3.50
859421005640,$3.50
859421005367,$2.00
859421005985,$2.00
859421005985,$2.00
859421005725,$2.50
859421005664,$2.50
859421005022,$2.50
859421005671,$4.00
859421005657,$4.00
854941007204,$2.00
854941007242,$2.00
854941007105,$2.50
854941007136,$2.50
854941007013,$2.50
854941007341,$2.50
854941007457,$2.50
854941007167,$3.00
854941007037,$3.50
854941007211,$3.50
854941007358,$3.50
854941007174,$3.50
854941007181,$3.50
859421005107,$60.00
854941007440,$60.00
,
859421005343,$2.50
854941007051,$2.50
854941007068,$2.50
854941007297,$3.50
854941007303,$6.00
854941007310,$6.00
854941007327,$7.00
859421005091,$210.00
,
859421005060,$2.50
854941007075,$3.00
854941007112,$2.50
854941007143,$4.00
UPC:,Unit Price
,
859421005695,$3.00
859421005374,$3.50
859421005381,$2.50
859421005398,$6.00
20859421005972,$6.00
859421005398,
859421005596,
859421005961,
854941007235,$2.00
854941007150,$2.50
854941007273,$2.50
854941007020,$3.00
854941007334,$4.00
854941007464,$2.50
854941007549,$3.50
,
859421005183,$11.00
859421005190,$11.00
859421005206,$11.00
859421005213,$11.00
854941007488,$11.00
854941007495,$11.00
854941007501,$11.00
,
801310844113,$1.50
801310844113,$1.50
801310844069,$1.50
801310844069,$1.50
801310844120,$6.00
801310844076,$6.00
801310844076,$6.00
801310844236,$6.00
801310844236,$6.00
801310844366,$6.00
801310844366,$6.00
,
859421005329,$9.00
859421005428,$9.00
,
854941007471,$2.50
,
10859421005081,$4.00
859421005572,
859421005589,
,
859421005459,$9.00
859421005466,$12.00
859421005473,$15.00
859421005749,$2.50
859421005923,$5.00
859421005480,$2.00
859421005497,$2.00
859421005503,$2.00
859421005732,$2.00
859421005992,$3.50
,
859421005817,$3.50
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
