ISBN,PriceDiscounted
9781595152473,2.56
9781595152503,2.56
9781599902128,2.56
9781599902142,2.56
9781613912065,2.56
9781614278191,4.27
9781621691273,2.56
9781621691297,2.56
9781621691365,2.56
9781621691396,2.56
9781621691419,2.56
9781621691426,2.56
9781621691433,2.56
9781621691440,2.56
9781621691457,2.56
9781621691501,2.56
9781621691556,2.56
9781621691754,2.56
9781630586966,2.56
9781781919729,2.56
9781781919736,2.56
9781845501952,2.56
9781857921564,2.56
9781945186004,2.56
9781945186011,2.56
9788420431246,2.56
9780153631313,3.72
9780060248123,2.71
9780262513456,3.8
9780262541824,3.8
9780262731768,2.71
9780373127740,2.71
9780373127849,2.71
9780373750214,2.71
9780373750238,2.71
9780373750245,2.71
9780373768929,2.71
9780373793259,2.71
9780373820795,2.71
9781223001463,3.56
9781223001470,3.56
9781223001487,3.56
9781223001500,3.56
9781223001517,3.56
9781223001555,3.56
9781223001579,3.56
9781223001609,3.56
9781223001623,3.56
9781223001630,3.56
9781223001647,3.56
9781223001654,3.56
9781223001661,3.56
9781223001678,3.56
9781223001685,3.56
9781223001692,3.56
9781223001708,3.56
9788427933347,2.71
9788420660073,3.11
9780544801387,2.74
9781631680021,2.79
9780064440042,2.82
9780064440141,2.82
9780064440233,2.82
9780064440516,2.82
9780190207144,4.7
9780190207168,4.7
9780190207175,4.7
9780190207182,4.7
9780190207199,4.7
9780193302525,3.96
9780195304435,2.82
9780312498573,2.82
9780312498580,2.82
9780312498597,2.82
9780312498603,2.82
9780312502157,2.82
9780312502164,2.82
9780312502980,2.82
9780312503000,2.82
9780312504243,2.82
9780312504250,2.82
9780312506520,2.82
9780312508272,2.82
9780312509224,2.82
9780312510060,2.82
9780312513382,2.82
9780312513757,2.82
9780316691383,2.82
9780439400909,2.82
9780451415851,2.82
9780451468666,2.82
9780451473721,2.82
9780451524485,2.82
9780451526786,2.82
9780451526809,2.82
9780451527875,2.82
9780451528018,2.82
9780451528391,2.82
9780451529619,2.82
9780451529947,2.82
9780451530295,2.82
9780451530455,2.82
9780451530622,2.82
9780451530677,2.82
9780451530745,2.82
9780451530813,2.82
9780451530837,2.82
9780451530967,2.82
9780451531018,2.82
9780451531056,2.82
9780451531155,2.82
9780451531209,2.82
9780451531346,2.82
9780451531353,2.82
9780451531438,2.82
9780451531506,2.82
9780451531742,2.82
9780451531803,2.82
9780451531896,2.82
9780451532121,2.82
9780486200705,2.82
9780486228945,2.82
9780486242293,2.82
9780486272986,2.82
9780486298979,2.82
9780486408392,2.82
9780486425573,2.82
9780486447988,2.82
9780486455976,2.82
9780486476261,2.82
9780516202181,2.82
9780516202198,2.82
9780516234908,2.82
9780516234915,2.82
9780516234946,2.82
9780516234953,2.82
9780516235868,2.82
9780516236001,2.82
9780516236032,2.82
9780516237367,2.82
9780516240275,2.82
9780516243573,2.82
9780516243597,2.82
9780516246604,2.82
9780516246611,2.82
9780516246628,2.82
9780516246635,2.82
9780516246659,2.82
9780516246673,2.82
9780516246925,2.82
9780516249995,2.82
9780516251660,2.82
9780516253695,2.82
9780516255262,2.82
9780516255309,2.82
9780516255378,2.82
9780516258201,2.82
9780516258225,2.82
9780516258232,2.82
9780516258270,2.82
9780516258294,2.82
9780516258300,2.82
9780516258423,2.82
9780516258430,2.82
9780516258447,2.82
9780516258454,2.82
9780516258478,2.82
9780516259376,2.82
9780516259642,2.82
9780516259833,2.82
9780516259871,2.82
9780516260778,2.82
9780516260808,2.82
9780516260839,2.82
9780516260846,2.82
9780516261539,2.82
9780516261546,2.82
9780516261607,2.82
9780516262550,2.82
9780516263588,2.82
9780516263618,2.82
9780516263625,2.82
9780516263656,2.82
9780516264110,2.82
9780516264202,2.82
9780516264738,2.82
9780516264752,2.82
9780516264769,2.82
9780516264783,2.82
9780516264790,2.82
9780516265513,2.82
9780516265520,2.82
9780516265674,2.82
9780516265698,2.82
9780516268194,2.82
9780516268316,2.82
9780516268644,2.82
9780516270029,2.82
9780516270036,2.82
9780516270753,2.82
9780516270760,2.82
9780516270777,2.82
9780516270807,2.82
9780516270814,2.82
9780516270999,2.82
9780516271507,2.82
9780516272924,2.82
9780516272931,2.82
9780516273044,2.82
9780516273082,2.82
9780516273099,2.82
9780516273105,2.82
9780516273280,2.82
9780516273396,2.82
9780516273426,2.82
9780516273785,2.82
9780516273860,2.82
9780516274935,2.82
9780516277691,2.82
9780516278100,2.82
9780516278117,2.82
9780516278162,2.82
9780516278292,2.82
9780516278308,2.82
9780516278322,2.82
9780516278407,2.82
9780516278759,2.82
9780516278995,2.82
9780516279060,2.82
9780516279121,2.82
9780516279220,2.82
9780516280035,2.82
9780516281780,2.82
9780516420110,2.82
9780516420370,2.82
9780516420417,2.82
9780516420639,2.82
9780516420684,2.82
9780516420691,2.82
9780516434933,2.82
9780516449050,2.82
9780516449135,2.82
9780516449173,2.82
9780516449180,2.82
9780516449210,2.82
9780516449258,2.82
9780516454511,2.82
9780516454535,2.82
9780516454542,2.82
9780516454559,2.82
9780516454566,2.82
9780516454573,2.82
9780516454603,2.82
9780516460253,2.82
9780516460345,2.82
9780516460369,2.82
9780531125915,2.82
9780553210095,2.82
9780553210118,2.82
9780553210750,2.82
9780553211665,2.82
9780553212259,2.82
9780553212297,2.82
9780553212464,2.82
9780553212495,2.82
9780553212549,2.82
9780553212563,2.82
9780553212587,2.82
9780553212600,2.82
9780553212747,2.82
9780553213287,2.82
9780553213300,2.82
9780553213324,2.82
9780553213478,2.82
9780553213492,2.82
9780553214499,2.82
9780553214826,2.82
9780553214987,2.82
9780590059824,2.82
9780634008061,2.82
9780684034508,2.82
9780715120255,2.82
9780715120293,2.82
9780717801961,3.96
9780738607177,2.82
9780738607184,2.82
9780738607221,2.82
9780738607245,2.82
9780738607283,2.82
9780738607313,2.82
9780738607436,2.82
9780738607443,2.82
9780738607498,2.82
9780738607511,2.82
9780738607665,2.82
9780738607702,2.82
9780738611488,2.82
9780743487573,2.82
9780743487580,2.82
9780743487597,2.82
