ISBN,PriceDiscounted
9780064440509,2.25
9780152048266,2.25
9780152048273,2.25
9780152048280,2.25
9780152048297,2.25
9780152048303,2.25
9780152048310,2.25
9780152048334,2.25
9780152048341,2.25
9780152048358,2.25
9780152048365,2.25
9780152048372,2.25
9780152048396,2.25
9780152048402,2.25
9780152048426,2.25
9780152048433,2.25
9780152048440,2.25
9780152048457,2.25
9780152048488,2.25
9780152048495,2.25
9780152048501,2.25
9780152048518,2.25
9780152048525,2.25
9780152048549,2.25
9780152048556,2.25
9780152048570,2.25
9780152048587,2.25
9780152048594,2.25
9780152048600,2.25
9780152048617,2.25
9780152048624,2.25
9780152048655,2.25
9780152050900,2.25
9780152050924,2.25
9780152050948,2.25
9780152050962,2.25
9780152051419,2.25
9780152051457,2.25
9780152051471,2.25
9780152051495,2.25
9780152051518,2.25
9780152051679,2.25
9780152051785,2.25
9780152051822,2.25
9780152056179,2.25
9780152056520,2.25
9780152059613,2.25
9780152059675,2.25
9780152059705,2.25
9780152059712,2.25
9780152062439,2.25
9780152062811,2.25
9780152065416,2.25
9780152065874,2.25
9780395919088,2.25
9780439399296,2.25
9780439399302,2.25
9780439399319,2.25
9780451465658,2.25
9780451526847,2.25
9780451532022,2.25
9780486291369,2.25
9780516246260,2.25
9780516246284,2.25
9780516246307,2.25
9780516246321,2.25
9780516246345,2.25
9780516249704,2.25
9780516251141,2.25
9780516255019,2.25
9780516255040,2.25
9780516255095,2.25
9780553212440,2.25
9780553213973,2.25
9780590458726,2.25
9780618065691,2.25
9780618065707,2.25
9780618169313,2.25
9780618169320,2.25
9780618169337,2.25
9780618169344,2.25
9780618448746,2.25
9780618554577,2.25
9780618800681,2.25
9780634007866,2.25
9780634056918,2.25
9780739066126,2.25
9780739067192,2.25
9780739094556,2.25
9780745951669,2.25
9780753461365,2.25
9780757900334,8.9
9780757917790,2.25
9780760701621,2.25
9780760701645,2.25
9780760723708,2.25
9780763765613,3
9780769628585,2.25
9780769643410,2.25
9780769643434,2.25
9780769648989,2.25
9780793529506,2.25
9780793552894,2.25
9780811854078,2.25
9780811854092,2.25
9780812034097,2.25
9780812063431,2.25
9780812063530,2.25
9780824955137,2.25
9780824982553,2.25
9780829445855,2.25
9780829447040,2.25
9780844772561,2.25
9780844772585,2.25
9780844772608,2.25
9780844772622,2.25
9780844772646,2.25
9780844772677,2.25
9780860376347,2.25
9780860376392,2.25
9780860376446,2.25
9780860377405,2.25
9780860377450,2.25
9780874838039,2.25
9780874838275,2.25
9780874838282,2.25
9780878910038,2.25
9780878910199,2.25
9780878910205,2.25
9780878910274,2.25
9780878910342,2.25
9780878910373,2.25
9780878910397,2.25
9780878910458,2.25
9780878910472,2.25
9780878910571,2.25
9780878912278,2.25
9780878912322,2.25
9780878912339,2.25
9780878919451,2.25
9780878919468,2.25
9780878919499,2.25
9780878919543,2.25
9780878919567,2.25
9780878919888,2.25
9780878919932,2.25
9780878919963,2.25
9780878919970,2.25
9780882661773,2.25
9780882661872,2.25
9780882661902,2.25
9780882661919,2.25
9780882661926,2.25
9780882661933,
9780882662077,2.25
9780882662091,2.25
9780882662138,2.25
9780882662220,2.25
9780882662251,2.25
9780882662268,2.25
9780882662282,2.25
9780882662299,2.25
9780882662756,2.25
9780882662763,2.25
9780882662770,2.25
9780882662824,2.25
9780882662848,2.25
9780882662855,2.25
9780882662893,2.25
9780882662909,2.25
9780882662916,2.25
9780882662954,2.25
9780882663029,2.25
9780882663272,2.25
9780882663296,2.25
9780882663340,2.25
9780882663357,2.25
9780882663364,2.25
9780882663463,2.25
9780882663500,2.25
9780882663784,2.25
9780882664149,2.25
9780882664750,2.25
9780882664996,2.25
9780882665191,2.25
9780882665511,2.25
9780882665566,2.25
9780882665887,2.25
9780882666006,2.25
9780882666556,2.25
9780882667133,2.25
9780882667164,2.25
9780882667195,2.25
9780882667294,2.25
9780882667607,2.25
9780882669984,2.25
9780882891385,2.25
9780894860171,3.16
9780894862595,3.16
