UPC,PriceDiscounted
00084418013722,2.87
00084418014422,2.87
00084418014927,2.87
00084418221622,2.87
00084418221721,2.87
00084418221820,2.87
00084418221929,2.87
00084418222025,2.87
00084418222124,2.87
00084418334926,2.87
00084418405527,2.87
00084418405626,2.87
00084418423620,2.87
00602517988811,2.87
00602537576838,2.87
00664140010628,2.87
00664140076426,2.87
00664140135529,2.87
00664140288027,2.87
00664140304727,2.87
00664140724723,2.87
00724381775028,2.87
00790617603021,2.87
00790617603120,2.87
00790617603229,2.87
00790617603328,2.87
00790617603427,2.87
00858068005112,2.87
00863877000111,2.87
00885470001821,2.87
00016581821521,3.59
00016861805821,3.59
00016861844028,3.59
00050087149048,3.59
00050087149055,3.59
00050087149062,3.59
00050087149079,3.59
00050087153762,3.59
00050087153847,3.59
00050087154516,3.59
00050087154523,3.59
00050087154547,3.59
00050087163235,3.59
00050087285869,3.59
00050087304140,3.59
00074645724126,3.59
00074645724324,3.59
00075596051224,3.59
00075596051521,3.59
00075596086127,3.59
00075596155526,3.59
00075596170727,3.59
00075596197724,3.59
00075596212526,3.59
00075596269025,3.59
00075678124020,3.59
00075678193620,3.59
00075678215728,3.59
00075678219924,3.59
00075678683909,3.59
00075678956416,3.59
00075679039224,3.59
00075679041920,3.59
00075992383622,3.59
00075992534222,3.59
00075992539425,3.59
00075992573221,3.59
00075992670029,3.59
00075992727327,3.59
00075992733229,3.59
00075992737920,3.59
00075992739726,3.59
00075992740227,3.59
00077774604925,3.59
00077774612722,3.59
00081227127725,3.59
00081227193324,3.59
00081227266028,3.59
00081227266226,3.59
00081227267421,3.59
00081227295523,3.59
00081227323622,3.59
00081227409128,3.59
00081227427023,3.59
00081227571726,3.59
00081227580322,3.59
00081227603922,3.59
00081227809621,3.59
00081227813727,3.59
00081227818722,3.59
00081227827526,3.59
00081227931773,3.59
00081227931780,3.59
00081227931803,3.59
00081227932305,3.59
00081227937836,3.59
00081227938727,3.59
00081227938741,3.59
00081227938758,3.59
00081227938772,3.59
00081227959333,3.59
00081227959340,3.59
00081227959449,3.59
00081227959456,3.59
00081227959470,3.59
00081227967994,3.59
00081227968007,3.59
00081227971915,3.59
00081227972271,3.59
00081227974091,3.59
00081227975081,3.59
00081227975494,3.59
00081227976316,3.59
00081227976361,3.59
00081227976408,3.59
00081227976422,3.59
00081227976460,3.59
00081227976514,3.59
00081227976538,3.59
00081227976545,3.59
00081227976552,3.59
00081227976897,3.59
00081227976903,3.59
00081227981983,3.59
00081227985110,3.59
00081227985370,3.59
00081227986216,3.59
00081227986230,3.59
00081227986254,3.59
00081227988104,3.59
00081227989880,3.59
00081227991463,3.59
00081227992804,3.59
00081227992897,3.59
00081227993283,3.59
00081227999018,3.59
00090266083121,3.59
00090431081426,3.59
00090431082225,3.59
00090431082324,3.59
00090431082621,3.59
00090431084922,3.59
00090431085721,3.59
00090431086629,3.59
00090431086827,3.59
00090431088029,3.59
00090431088227,3.59
00090431088425,3.59
00090431088920,3.59
00090431089224,3.59
00090431089422,3.59
00090431089620,3.59
00090431090923,3.59
00090431091722,3.59
00093624423027,3.59
00093624531425,3.59
00093624604624,3.59
00093624642725,3.59
00093624705826,3.59
00093624737322,3.59
00093624742722,3.59
00093624761327,3.59
00093624776925,3.59
00093624777120,3.59
00093624790327,3.59
00093624820826,3.59
00093624904076,3.59
00093624904854,3.59
00093624904892,3.59
00093624904915,3.59
00093624904939,3.59
00093624904953,3.59
00093624904977,3.59
00093624930020,3.59
00093624934776,3.59
00093624957409,3.59
00182385000049,3.56
00190295626129,3.59
00190295841393,3.59
00190758685021,3.59
