ISBN,ISBN_10,ProductID,BTKey,Author,Title,PriceReguar,PriceDiscounted,30day_demand,Annotation,FormatPrimary,FormatPrimary_Description,FormatPrimary_QuantityPack,CountryOfPublication,LanguageCode,Classification_Merchandise,Classification_BookType,Classification_DeweyClass,Classification_LCClass,Classification_SeriesProduct,Subjects_General,Subjects_Bisac,Subjects_Library,ProductType,ProductLineID,ProductStatus,DateCreated
9780064440509,0064440508,0000846829,0000846829,"Minarik, Else Holmelund",A Kiss for Little Bear,3.95,2.25,98,"Little Bear is so pleased with the picture he has drawn that he asks Hen to take it to his grandmother. Grandmother is so happy with it that she sends him back a thank-you kiss.
How the kiss is passed from Grandmother, to Hen, to Cat, to Little Skunk, to a pretty girl skunk, and back to Little Skunk, and how eventually it comes again to Hen and finally to Little Bear will delight children just learning to read.
Else Holmelund Minarik and Maurice Sendak, the creators of the first Little Bear book for beginning readers, once again blend their extraordinary talents in a tender story filled with warmth and laughter.
This beloved classic is an ALA Notable Children's Book and a New York Times Best Illustrated Book.",Paperback,32 p. : 8.50 H x 0.25 D x 5.50 W inches 0.10 lbs.,1,,ENG,JUVENILE,Easy Fiction,[E],PZ7.M652 KIS 2007,Little Bear,Juvenile Grades 1-2 Ages 6-7,"JUVENILE FICTION / Readers / Beginner
JUVENILE FICTION / Animals / Bears
JUVENILE FICTION / Family / Parents","Kissing; Fiction.
Bears; Fiction.
Animals; Fiction.",Book,BOOK,,12/14/2012
9780152048266,015204826X,0004188598,0004188598,"Williams, Rozanne Lanczak",The Purple Snerd,3.95,2.25,8,"What purrs, barks, and chirps and has long purple fur? Fern is about to find out . . . and to make a new friend. Mary GrandPré's bright artwork brings the magic-and mayhem-of the Purple Snerd's one-of-a-kind visit to laugh-out-loud life.",Paperback,1 v. (unpaged) : 8.25 H x 0.10 D x 5.75 W inches 0.15 lbs.,0,United States,ENG,JUVENILE,Easy Fiction,[E],PZ8.3.W67926 PU 2000,Green Light Readers. Level 2,Juvenile Grades 1-2 Ages 6-7,"JUVENILE FICTION / Readers / Beginner
JUVENILE FICTION / Animals / Pets","Imaginary playmates; Fiction.
Stories in rhyme.",Book,BOOK,,12/15/2012
9780152048273,0152048278,0004188663,0004188663,"Brett, Jessica",Animals on the Go,3.95,2.25,0,Meet some of the fastest animals on earth and learn what makes them run.,Paperback,[24] p. : 9.00 H x 0.25 D x 6.25 W inches 0.15 lbs.,0,United States,ENG,JUVENILE,Easy Fiction,590,QL49 .B738 2000,Green Light Readers All Leavels,Juvenile Grades 1-2 Ages 6-7,JUVENILE FICTION / Readers / Beginner,"Animals; Miscellanea; Juvenile literature.
Animal locomotion; Miscellanea; Juvenile literature.
Animals; Miscellanea.
Animal locomotion.",Book,BOOK,,12/23/2012
9780152048280,0152048286,0004188599,0004188599,"Cartier, Wesley",Marco's Run,3.95,2.25,0,Marco is a fast runner. Is he as fast as a rabbit? A bobcat? A horse? Who is the fastest runner of all? This quick-moving story runs wild in the hands of award-winning illustrator Reynold Ruffins.,Paperback,24 p. : 8.25 H x 0.25 D x 6.00 W inches 0.15 lbs.,0,China,ENG,JUVENILE,Easy Fiction,E,PZ,Green Light Readers: All Levels,Juvenile Grades 1-2 Ages 6-7,"JUVENILE FICTION / Readers / Beginner
JUVENILE FICTION / Sports & Recreation / General",null,Book,BOOK,,12/22/2012
9780152048297,0152048294,0004188600,0004188600,"Denise, Christopher",Digger Pig and the Turnip,3.95,2.25,2,Digger Pig finds the most beautiful turnip in the garden--a turnip perfect for making into a pie. But who will help Digger Pig make her turnip pie? And who will help her eat it?,Paperback,1 v. (unpaged) : 8.25 H x 0.25 D x 6.00 W inches 0.15 lbs.,0,United States,ENG,JUVENILE,Easy Fiction,398.24/52,PZ8.1.C66455 DI 2000,Green Light Readers: All Levels,Juvenile Grades 1-2 Ages 6-7,"JUVENILE FICTION / Readers / Beginner
JUVENILE FICTION / Animals / Farm Animals",Folklore.,Book,BOOK,,12/25/2012
9780152048303,0152048308,0004188601,0004188601,"Crummel, Susan Stevens",Tumbleweed Stew,3.95,2.25,15,Jack Rabbit tricks the other animals into helping him make a pot of tumbleweed stew.,Paperback,1 v. (unpaged) : 8.25 H x 0.10 D x 5.75 W inches 0.20 lbs.,0,United States,ENG,JUVENILE,Easy Fiction,[E],PZ7.C88845 TU 2000,Green Light Readers: All Levels,Juvenile Grades 1-2 Ages 6-7,"JUVENILE FICTION / Readers / Beginner
JUVENILE FICTION / Animals / Rabbits","Rabbits; Fiction.
Tricks; Fiction.",Book,BOOK,,12/14/2012
9780152048310,0152048316,0004188602,0004188602,"Daniel, Claire",The Chick That Wouldn't Hatch,3.95,2.25,14,"There are six eggs in Mother Hen’s nest, but--Chip! Chip! Chip! Chip! Chip!--only five eggs hatch! The sixth egg goes on a high-rolling adventure across the barnyard, past the pig and the tomato patch, and, finally, into Mother Hen’s waiting wings. What a wild ride! Lisa Campbell Ernst’s bold, energetic illustrations transform a short trip across the barnyard into a rollicking good time.",Paperback,1 v. (unpaged) : 8.25 H x 0.10 D x 5.75 W inches 0.15 lbs.,0,China,ENG,JUVENILE,Easy Fiction,[E],PZ7.D216 CH 1999,Green Light Readers. Level 2,Juvenile Grades 1-2 Ages 6-7,"JUVENILE FICTION / Readers / Beginner
JUVENILE FICTION / Animals / Farm Animals","Eggs; Fiction.
Chickens; Fiction.
Animals; Fiction.",Book,BOOK,,12/14/2012
9780152048334,0152048332,0004188604,0004188604,"Yee, Wong Herbert",Get That Pest!,3.95,2.25,0,"At first Mom and Pop Nash have ten eggs, then five--and soon they have none! Mom and Pop Nash want to surprise that tricky wolf who's stealing their eggs, but he surprises them first!",Paperback,1 v. (unpaged) : 8.50 H x 0.25 D x 6.00 W inches 0.15 lbs.,0,China,ENG,JUVENILE,Easy Fiction,[E],PZ7.D74643 GE 2003,Green Light Readers: All Levels,Juvenile Grades 1-2 Ages 6-7,"JUVENILE FICTION / Readers / Beginner
JUVENILE FICTION / Lifestyles / Farm & Ranch Life","Eggs; Fiction.
Farm life; Fiction.
Stealing; Fiction.",Book,BOOK,,12/24/2012
9780152048341,0152048340,0004188605,0004188605,"Franco, Betsy",Why the Frog Has Big Eyes,3.95,2.25,9,A fable explaining how a staring contest left frogs with large eyes.,Paperback,1 v. (unpaged) : 8.25 H x 0.25 D x 6.00 W inches 0.15 lbs.,0,China,ENG,JUVENILE,Easy Fiction,[E],PZ8.2.F68 WH 2000,Green Light Readers: All Levels,Juvenile Grades 1-2 Ages 6-7,"JUVENILE FICTION / Readers / Beginner
JUVENILE FICTION / Animals / Frogs & Toads
JUVENILE FICTION / Legends, Myths, Fables / General","Fables.
Frogs; Fiction.",Book,BOOK,,12/15/2012
9780152048358,0152048359,0004188606,0004188606,"Hoban, Tana",I Wonder,3.95,2.25,0,"While walking through the park, a child sees a wondrous variety of animals",Paperback,1 v. (unpaged) : 8.50 H x 0.25 D x 6.00 W inches 0.15 lbs.,1,China,ENG,JUVENILE,Easy Fiction,[E],PZ7.H638 IAE 1999,Green Light Readers: All Levels,Juvenile Grades 1-2 Ages 6-7,"JUVENILE FICTION / Readers / Beginner
JUVENILE FICTION / Science & Nature / General
JUVENILE FICTION / Animals / General",Animals; Fiction.,Book,BOOK,,12/23/2012
