ISBN,ISBN_10,ProductID,BTKey,Author,Title,PriceReguar,PriceDiscounted,30day_demand,Annotation,FormatPrimary,FormatPrimary_Description,FormatPrimary_QuantityPack,CountryOfPublication,LanguageCode,Classification_Merchandise,Classification_BookType,Classification_DeweyClass,Classification_LCClass,Classification_SeriesProduct,Subjects_General,Subjects_Bisac,Subjects_Library,ProductType,ProductLineID,ProductStatus,DateCreated
9780159014295,0159014298,0006512750,0006512750,Not Available,Growing in Love,2.35,7.3,0,,Paperback,10.75 H x 0.10 D x 8.25 W inches 0.10 lbs.,1,,eng,CLASSROOM TEXT,Non-Fiction,,,,Juvenile Grades 4-6 Ages 9-11,JUVENILE NONFICTION / Religion / Christianity,null,Book,BOOK,,12/14/2012
9788434828391,8434828391,0006642624,0006642624,"Rius, Roser",Pablo no quiere estar solo/ Paul does not Want to be Alone (Pablo no quiere estar solo/ Paul does not Want to be Alone),2.39,1.55,0,Pablo must overcome his shyness if he does not want to be lonely.,Hardcover,1 v. (unpaged) : 8.00 H x 0.50 D x 8.75 W inches 0.55 lbs.,1,Spain,spa,JUVENILE,Easy Fiction,[E],PZ73 .R52447 2005,Cuentos para sentir / Stories to Feel,Spanish Kindergarten,"JUVENILE FICTION / Social Themes / Emotions & Feelings
JUVENILE FICTION / School & Education","Bashfulness; Fiction.
Loneliness; Fiction.
Spanish language materials.",Book,BOOK,,12/23/2012
9781496402899,1496402898,0015372633,0015372633,Tyndale House Publishers,Heroes of the Bible,2.49,1.42,0,"Old Testament stories come alive with these beautifully illustrated stickers of favorite Bible heroes. Kids will love to hear the amazing accounts of Noah, Moses, Esther, Daniel, and more—as parents and teachers use these stickers to retell the ways God showed His love and power in the lives of the men and women who followed Him. A fun way to reinforce lessons from your favorite Sunday school curriculum, or use these stickers to create your own. All images are taken fromThe Bible for Children by Tyndale House Publishers. Includes 6 sheets, 6 stickers per sheet for a total of 36 stickers.",Unbound,6.00 H x 0.10 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,NON-BOOK,Non-Fiction,745,TT,Faith That Sticks,Novelty,"NON-CLASSIFIABLE
CRAFTS & HOBBIES / General",null,Book,SIDEL,,7/31/2014
9781496402929,1496402928,0015372677,0015372677,"Tyndale House Publisher, Inc.",Love Your Neighbor,2.49,1.42,0,"Everybody needs a friend—to take a walk, go for a swim, or share a hug with. These adorable stickers highlight the sweetness of friendship, featuring both boys and girls and their animal friends. Use them to decorate a note to a special friend, create thank-you cards, or decorate books and papers. Kids will also appreciate any teacher or parent who uses these heartwarming buddies on homework, Sunday school papers, or class charts. All images are taken fromBlessings Every Day by Carla Barnhill, illustrated by Elena Kucharik. Includes 6 sheets; 60 stickers total.",Unbound,6.00 H x 0.01 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,NON-BOOK,Non-Fiction,745,TT,Faith That Sticks,Novelty,"NON-CLASSIFIABLE
CRAFTS & HOBBIES / General",null,Book,SIDEL,,7/31/2014
9781496402936,1496402936,0015372713,0015372713,Tyndale House Publishers,"Thank You, God, for Summer",2.49,1.42,0,"Nothing highlights the joy of summer like marshmallows around the campfire, running through the sprinkler, eating watermelon, or bobbing on the waves. These colorful stickers, featuring adorable boys and girls, are great for summer crafts, vacation Bible school, decorations, invitations, and more. They’re also ideal for teachers and parents looking for a way to bring a smile to their kids’ faces at home or church all year long. All images are taken fromBlessings Every Day by Carla Barnhill, illustrated by Elena Kucharik. Includes 6 sheets; 84 stickers total.",Unbound,6.00 H x 0.01 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,NON-BOOK,Non-Fiction,745,TT,Faith That Sticks,Novelty,"NON-CLASSIFIABLE
CRAFTS & HOBBIES / General",null,Book,SIDEL,,7/31/2014
9781496402967,1496402960,0015372632,0015372632,"Tyndale House Publisher, Inc.",Hearts of Love,2.49,1.42,0,"Perfect for making Valentine’s Day cards and crafts, these colorful, glittery stickers are a simple, fun way to say “I love you” any day of the year. Find creative ways to remind your loved ones how much they mean to you with these hand-drawn stickers made especially to help share the love! Contains one sheet of 11 puffy stickers.",Unbound,6.00 H x 0.25 D x 6.00 W inches 0.10 lbs.,1,United States,ENG,NON-BOOK,Non-Fiction,745,TT,Faith That Sticks,Crafts & Hobbies,"NON-CLASSIFIABLE - Blank Book, Diary, Journal",null,Book,SIDEL,,7/31/2014
9781496403025,1496403029,0015372606,0015372606,Tyndale,Child of the King!,2.49,1.42,0,"Every little princess will love these pink, puffy crowns and stars. Whether she’s crowning her own notes, books, and decorations or creating a star-studded invitation or craft, she’ll be reminded that she is a beloved princess of God the King. A great reward or achievement sticker for girls in preschool or Sunday school, use them to call your “princesses” to action as members of God’s family. All images are taken fromThe One Year My Princess Devotions Preschool Edition by Karen Whiting, illustrated by Jacqueline L. Nuñez. Includes 16 puffy stickers.",Unbound,6.00 H x 0.25 D x 4.25 W inches 0.10 lbs.,1,United States,ENG,NON-BOOK,Non-Fiction,745,TT,Faith That Sticks,Novelty,"NON-CLASSIFIABLE
RELIGION / General",null,Book,SIDEL,,7/31/2014
9781496403049,1496403045,0015372683,0015372683,Tyndale,Mom and Me,2.49,1.42,0,"Every child will recognize and delight in these things that moms do with and for them. Whether it’s keeping them safe by buckling them into the car, giving them help in getting dressed, playing outside, praying for them, or sharing a secret, children will recognize the many ways that mothers love and care for them every day. Great for Mother’s Day crafts or cards at home, school, or church, they’re also good way to talk about God’s love for His children every day. All images are taken fromMy Mama & Me by Crystal Bowman and Teri McKinley, illustrated by Phyllis Harris. Includes 6 sheets; 60 stickers total.",Unbound,6.00 H x 0.01 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,NON-BOOK,Non-Fiction,745,TT,Faith That Sticks,Crafts & Hobbies,"NON-CLASSIFIABLE - Blank Book, Diary, Journal
RELIGION / General",null,Book,SIDEL,,7/31/2014
9781496403063,1496403061,0015372700,0015372700,Tyndale,Power Words,2.49,1.42,0,"Words have power—especially when they come straight from Scripture. These Bible verses with references serve as powerful reminders of God’s day-to-day presence and teaching in kids’ lives. Use them as a tool for Bible memory, incentives, or a follow-up to lessons at home, church, or school. These stickers fuel kids’ faith as they are prompted to remember: God is with you wherever you go; Our God is a God who saves; Give us today the food we need; The Holy Spirit helps us; Believe in the Lord Jesus and you will be saved; and more. All images are taken from Rumble! Zap! Pow! written by Diane Stortz, illustrated by Luke Daab. One sheet per package, 9 puffy stickers total.",Unbound,6.00 H x 0.25 D x 6.00 W inches 0.10 lbs.,1,United States,ENG,NON-BOOK,Non-Fiction,745,TT,Faith That Sticks,Novelty,"NON-CLASSIFIABLE
CRAFTS & HOBBIES / General",null,Book,SIDEL,,7/31/2014
9781496403070,149640307X,0015372684,0015372684,Tyndale House Publishers,Musical Praise Makers,2.49,1.42,0,"God loves it when boys and girls make a joyful noise! These stickers show children playing drums, guitar, tuba, violin, trumpet, tambourine, and more. A fun way to get children involved as you teach a lesson at home or church on praising God, or to introduce little ones to various musical instruments. Also the perfect reward sticker to be used by music teachers or on practice charts. All images are taken fromBig Thoughts for Little People by Kenneth N. Taylor, illustrated by Andrea Petrlik Huseinovic. Includes 6 sheets, 14 stickers per sheet; 84 stickers total.",Unbound,6.00 H x 0.10 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,NON-BOOK,Non-Fiction,745,TT,Faith That Sticks,Novelty,"NON-CLASSIFIABLE
CRAFTS & HOBBIES / General",null,Book,SIDEL,,7/31/2014
9781496403087,1496403088,0015372673,0015372673,"Tyndale House Publisher, Inc.",Little Prayers,2.49,1.42,0,"These heartwarming stickers remind both kids and adults about the importance of thanking God. Whether it’s giving thanks before a meal, kneeling for a bedtime prayer, or praising God for His beautiful creation, these stickers give parents and teachers a chance to talk about the importance of saying thank you to God. A great tool for reinforcing a lesson on prayer, or as a reminder that others are in your prayers, these images are taken fromThank You, God! and Questions from Little Hearts by Kathleen Long Bostrom, illustrated by Elena Kucharik. Includes 6 sheets, 13 stickers per sheet; 78 stickers total.",Unbound,6.00 H x 0.01 D x 4.00 W inches 0.05 lbs.,1,United States,ENG,NON-BOOK,Non-Fiction,745,TT,Faith That Sticks,Novelty,"NON-CLASSIFIABLE
CRAFTS & HOBBIES / General",null,Book,SIDEL,,7/31/2014
