ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780486264653,2.28,"24,331",-3.194939912,"740,503",-2.054862656,"6,870,784",-6.978225312,"607,095",-3.773725312,"559,090",-6.978225312,"1,117,680",-6.978225312,"1,096,175",-6.978225312,"353,635",47.430274688,"672,691",-6.978225312,"683,620",-3.901225312
9780486266893,2.28,"23,590",-3.160217147,"25,375",-2.187996336,"280,868",-5.119492672,"290,512",-3.453492672,"279,985",-2.594992672,"291,699",-4.864492672,"402,589",-4.864492672,-1,62.583007328,"144,653",-6.819492672,"823,845",-6.819492672
9780486268729,2.28,"370,621",-3.1671617,"522,123",-1.9913696,"1,538,202",-6.8512392,"2,956,327",-6.8512392,"1,000,906",-6.8512392,"1,055,998",-6.8512392,"1,421,988",-3.9187392,-1,-6.8512392,-1,-6.8512392,"305,109",-6.8512392
9780486270555,2.28,"400,628",-3.142469956,"316,739",-1.934931328,"1,258,192",-5.038362656,"3,637,160",-6.738362656,"93,559",-6.738362656,"351,978",-4.213862656,"433,560",-2.726362656,-1,-6.738362656,-1,-6.738362656,"548,346",-6.738362656
9780486270579,2.28,"278,674",-3.7281617,"169,880",-1.9913696,"127,054",-4.3012392,"1,626,841",-6.8512392,"187,157",-4.0802392,"279,683",-4.3267392,"219,552",-3.9187392,-1,46.7072608,"56,913",-6.8512392,"87,767",-3.3152392
9780486270661,2.28,"158,498",-3.177192721,"110,381",-2.014297648,"386,066",-4.347095296,"3,636,304",-6.897095296,"1,923,233",-6.897095296,"1,442,509",-3.964595296,-1,-3.964595296,-1,48.718404704,"71,958",-6.897095296,"178,874",-6.897095296
9780486270876,2.28,"746,447",-3.779247191,"362,391",-1.855565008,"687,759",-4.029630016,"2,401,519",-6.579630016,"2,872,854",-6.579630016,-1,-6.579630016,-1,-6.579630016,-1,63.188369984,-1,-6.579630016,"233,948",-6.579630016
9780486272757,2.28,"275,464",-3.181050806,"371,998",-6.706616128,"238,217",-4.364732256,"1,199,219",-6.914732256,"264,396",-6.914732256,"31,231",-4.390232256,"128,296",-3.982232256,-1,46.643767744,0,-6.49,"937,186",-2.885732256
9780486272788,2.28,"168,156",-3.160217147,"15,014",-3.012496336,"927,934",-4.269492672,"6,555,728",-6.819492672,"89,129",-6.819492672,"765,823",-4.294992672,-1,-6.819492672,"28,390",45.889007328,"498,766",-6.819492672,"51,610",-3.291992672
9780486272825,2.28,"3,359,988",-6.5756617,"1,317,334",-6.747181136,"490,695",-4.445862272,"6,944,019",-6.995862272,"2,244,984",-4.241862272,"1,125,577",-4.207862272,"202,532",-4.063362272,-1,-6.995862272,"1,126,314",-6.995862272,"1,209,798",-2.966862272
