ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780061573194,3.39,"1,744,907",-2.647439912,-1,-7.848362656,"3,839,335",-4.229225312,-1,-2.979725312,-1,-3.438725312,"1,546,865",-3.124225312,-1,-3.124225312,-1,-8.088225312,-1,-8.088225312,"547,760",-8.088225312
9780064401142,3.39,"310,118",-7.695692721,"196,312",-7.807797648,"721,495",-4.020595296,"644,826",-3.757095296,"332,116",-3.315095296,"470,280",-3.876095296,"1,265,326",-3.876095296,"225,212",-8.007095296,"529,024",-8.007095296,"1,720,926",-8.007095296
9780064432535,3.39,"22,484",-2.560247191,"51,709",-1.903065008,"313,551",-3.839130016,"173,575",-2.581130016,"34,608",-3.014630016,"104,241",-3.941130016,"107,730",-2.725630016,"202,936",73.918869984,"179,498",-7.689630016,"37,124",-7.689630016
9780152002657,3.39,"74,685",-2.682162677,"150,008",-0.762228976,"1,845,141",-8.246957952,"66,007",-3.826957952,"192,594",-8.246957952,"46,073",-4.498457952,"41,586",-3.690957952,-1,87.386542048,"105,152",-8.246957952,"86,352",-2.245957952
9780152002664,3.39,-1,-7.731187103,"261,594",-0.458873264,"5,466,813",-7.640246528,"183,842",-2.531746528,"252,160",-2.914246528,"1,140,617",-3.891746528,"858,848",-2.676246528,-1,87.993253472,"598,888",-7.640246528,"395,372",-7.640246528
9780152049492,3.39,"32,695",-2.577222765,"114,562",-0.52236632,"100,185",-3.83173264,"427,126",-2.65873264,"659,946",-3.16023264,"249,861",-3.63623264,"244,190",-2.80323264,-1,-7.76723264,"468,817",-7.76723264,"70,449",-1.76623264
9780152049508,3.39,"34,754",-2.560247191,"1,877,066",-7.649065008,"75,228",-3.754130016,"432,202",-3.439630016,"755,570",-2.980630016,"326,143",-3.558630016,"131,240",-3.558630016,-1,77.318869984,-1,-7.689630016,"180,684",-1.688630016
9780152049553,3.39,"860,136",-2.682162677,-1,-7.927728976,"2,499,669",-7.473457952,"1,932,390",-3.138457952,"2,633,871",-5.790457952,"832,339",-6.351457952,-1,-6.257957952,-1,86.647042048,-1,-8.246957952,"1,523,108",-2.322457952
9780152056605,3.39,"76,079",-2.629692721,"186,766",-0.642297648,"1,106,276",-4.165095296,"1,079,427",-2.898595296,"1,018,568",-3.315095296,-1,-3.043095296,"1,342,018",-3.043095296,-1,85.084904704,-1,-8.007095296,"1,897,103",-2.014595296
9780152060107,3.39,"204,590",-3.598738886,"489,199",-9.019903168,"995,970",-5.707306336,"687,121",-4.925306336,"1,064,263",-5.044306336,-1,-4.984806336,"1,341,868",-5.129306336,-1,-9.651306336,"1,117,016",-9.651306336,"1,711,507",-9.651306336
9780152061302,3.39,"168,545",-2.629692721,"332,034",-7.807797648,"1,060,920",-4.071595296,"1,504,099",-2.898595296,"1,262,896",-3.400095296,-1,-3.043095296,-1,-3.043095296,-1,91.493904704,0,-7.6,"1,997,566",-2.006095296
