ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780175660018,,"242,641",0.858363703,"124,392",-4.290811536,"503,107",-0.104623072,"550,389",-0.835623072,"762,365",1.357376928,-1,-0.861123072,-1,-0.895123072,-1,109.927876928,-1,-4.363123072,-1,0.107876928
9780175660025,5.7,"1,522,117",-9.964025403,"189,376",-10.022558064,"593,392",-5.868116128,"1,726,947",-5.018116128,-1,-4.406116128,-1,-5.162616128,"379,084",-6.658616128,-1,-10.126616128,-1,-10.126616128,-1,-4.100116128
9780194529563,5.7,"4,411,583",-4.932687103,"3,674,637",-10.198927664,"3,623,204",-3.585855328,"531,056",-4.537855328,"169,946",-0.058355328,"179,084",-4.197855328,"214,697",-5.064855328,-1,-10.479355328,-1,-10.479355328,"162,913",-10.479355328
9780446315005,3.42,"6,296,235",-8.694738886,"594,183",-1.389873264,"844,285",-3.666746528,"1,496,205",-2.561746528,-1,-2.935746528,-1,-3.241746528,-1,-2.706246528,-1,81.341753472,"338,385",-7.670246528,"527,385",-1.448246528
9780446576093,3.42,"660,143",-3.959662677,"686,343",-8.737728976,"2,180,960",-6.149957952,"2,400,789",-6.183957952,"2,171,155",-5.869457952,-1,-6.200957952,"1,404,996",-6.149957952,-1,79.776542048,-1,-9.056957952,"1,362,982",-2.928457952
9780446582797,3.42,"1,063,845",-2.669662677,"883,897",-1.574228976,"2,150,130",-3.176957952,"1,128,986",-3.168457952,"1,733,045",-3.635957952,-1,-3.312957952,-1,-3.312957952,-1,-8.276957952,0,-7.63,"1,695,594",-2.020957952
9780486280615,3.42,"3,412",-2.655773571,"42,599",-1.661482448,"1,725,306",-8.213464896,"1,479,860",-8.213464896,"123,288",-8.213464896,"81,181",-8.213464896,"131,866",-4.303464896,"61,153",70.845035104,"346,027",-8.213464896,"149,762",-3.682964896
9780486282114,3.42,"2,189",-2.564722765,"5,645",-0.90936632,"1,315,590",-7.79723264,"187,967",-4.38873264,"230,968",-7.79723264,"304,877",-4.01473264,-1,-7.79723264,"7,469",71.26126736,"321,980",-7.79723264,"163,590",-7.79723264
9780486289991,3.42,"314,506",-3.502687103,"116,293",-1.220927664,"567,173",-4.799355328,"1,786,767",-8.199355328,"60,029",-3.464855328,"248,228",-4.612355328,"164,486",-4.289355328,"66,746",71.709144672,-1,-8.199355328,"176,496",-8.199355328
9780486290492,3.42,"723,913",-2.6843234,"295,427",-1.2252392,"2,514,102",-4.9439784,"2,203,824",-8.3439784,"485,152",-8.3439784,-1,-8.3439784,-1,-8.3439784,-1,88.0970216,-1,-8.3439784,"675,278",-2.3174784
9780486292564,3.42,"33,002",-3.962409868,"19,935",-1.189793984,"1,520,918",-5.808087968,"2,508,093",-8.358087968,"242,757",-5.111087968,"1,692,827",-5.425587968,"1,031,524",-5.425587968,"24,473",65.668412032,"784,327",-8.358087968,"186,890",-3.725587968
9780486292731,3.42,"22,203",-3.449662677,"368,956",-1.929228976,"2,685,549",-9.056957952,"2,239,342",-9.056957952,"990,971",-9.056957952,"1,192,161",-9.056957952,"259,301",-9.056957952,"229,510",70.851542048,"220,861",-9.056957952,"259,605",-2.851957952
9780486292823,3.42,"3,741,059",-7.848379824,"127,844",-1.069862656,"212,500",-4.718225312,"825,515",-8.118225312,"31,729",-8.118225312,"153,790",-4.335725312,"106,182",-4.208225312,"65,752",-8.118225312,"92,667",-8.118225312,"162,297",-8.118225312
9780486401645,3.42,"258,513",-2.564722765,"1,393,041",-7.71786632,"3,751,255",-7.79723264,"669,933",-3.80223264,"1,371,345",-5.14523264,"1,778,856",-5.18773264,"494,073",-5.51923264,"97,515",76.36126736,-1,-7.79723264,"942,396",-3.28373264
9780486406510,3.42,"11,934",-3.502132633,"13,903",-3.681160304,"2,472,903",-5.913820608,"498,149",-4.502820608,"168,282",-4.570820608,"1,396,669",-5.514320608,-1,-5.386820608,"70,805",70.611679392,"446,977",-9.296820608,"292,576",-3.253320608
9780486406633,3.42,"158,294",-3.481298974,"64,599",-2.112040512,"1,629,122",-9.201581024,"4,730,708",-9.201581024,"879,045",-4.467081024,-1,-9.201581024,"474,948",-5.291581024,"165,041",63.575418976,"159,057",-9.201581024,"120,286",-9.201581024
9780486408811,3.42,"1,055,615",-2.669662677,"605,708",-1.693228976,-1,-7.634972608,"6,429,809",-8.276957952,"1,945,875",-3.559457952,-1,-4.366957952,-1,-4.366957952,-1,-8.276957952,-1,-8.276957952,"637,403",-3.584957952
9780486411217,3.42,"159,107",-2.6843234,"3,536",-1.2932392,"362,000",-4.9439784,"1,926,600",-8.3439784,"742,098",-3.6094784,"354,456",-4.7569784,"117,330",-4.4339784,"59,518",71.5645216,"183,998",-8.3439784,"85,246",-2.3174784
9780486415918,3.42,"357,879",-3.832909868,"289,030",-2.411793984,"2,106,610",-5.738087968,"4,371,845",-9.138087968,"1,148,195",-4.488587968,"865,415",-9.138087968,-1,-9.138087968,-1,76.720412032,"264,715",-9.138087968,"132,136",-3.086087968
9780486419237,3.42,"12,781",-2.705157059,"3,696,483",-8.038858992,"1,914,934",-8.439217984,"2,199,121",-8.439217984,"199,236",-8.439217984,"802,210",-8.439217984,"731,514",-8.439217984,"340,089",77.419282016,0,-7.63,"154,027",-8.439217984
9780486424651,3.42,"296,443",-4.317409868,"755,564",-3.032293984,"1,240,360",-9.138087968,"874,308",-9.138087968,"1,547,456",-4.412087968,"1,222,474",-9.138087968,-1,-5.228087968,-1,73.124912032,"324,833",-9.138087968,"1,831,641",-9.138087968
9780486436203,3.42,"454,512",-3.467409868,"637,886",-1.969793984,"1,755,678",-5.738087968,"2,027,488",-4.038087968,"3,003,035",-4.369587968,"1,591,633",-9.138087968,"1,103,935",-9.138087968,-1,89.827412032,"267,089",-9.138087968,"1,077,050",-9.138087968
9780486436302,3.42,"992,114",-2.6843234,"338,265",-1.1827392,"2,289,694",-5.7939784,"3,423,013",-8.3439784,"1,621,355",-3.6859784,"1,536,204",-8.3439784,"257,596",-5.4114784,-1,86.7200216,"427,727",-8.3439784,"398,791",-8.3439784
9780486437002,3.42,"935,675",-3.502132633,"1,151,970",-2.593160304,"215,976",-5.896820608,"606,242",-5.386820608,"198,170",-4.579320608,"716,186",-5.386820608,"596,015",-5.386820608,-1,86.744679392,-1,-9.296820608,"451,656",-3.270320608
9780486437873,3.42,"57,440",-4.338797997,"109,282",-2.532181136,"134,150",-4.735862272,"963,879",-8.135862272,"137,058",-8.135862272,"122,401",-4.353362272,"160,577",-4.225862272,-1,57.671137728,"269,437",-8.135862272,"94,177",-3.613862272
9780486437910,3.42,"41,012",-3.695036883,"3,209",-2.600584304,"211,971",-6.778668608,"150,568",-6.268668608,"359,938",-10.178668608,"534,896",-6.396168608,"102,222",-6.268668608,"26,962",68.879831392,"176,496",-10.178668608,"38,314",-4.092668608
9780486440835,3.42,"806,939",-3.537627015,"1,100,426",-2.61479032,"2,489,993",-6.05908064,"1,062,394",-5.20058064,"260,616",-4.75858064,"685,137",-9.45908064,"755,091",-9.45908064,"388,119",-9.45908064,"131,386",-9.45908064,"373,417",-3.40708064
9780486442877,3.42,"82,455",-3.57234978,"133,958",-2.20965664,"182,913",-6.21781328,"2,747,668",-9.61781328,"103,210",-3.29381328,"178,252",-5.70781328,"410,498",-5.70781328,"57,082",89.09268672,"384,114",-9.61781328,"181,488",-3.59131328
9780486447162,3.42,"55,391",-2.677378847,"61,304",-1.710865936,"244,654",-5.762231872,"165,483",-5.379731872,"67,197",-8.312231872,"492,807",-5.617731872,"150,268",-5.379731872,"170,188",88.766268128,"107,055",-8.312231872,"71,471",-3.798731872
9780486461434,3.42,"746,797",-2.669662677,"384,792",-1.693228976,"871,984",-5.726957952,"492,473",-3.644457952,"1,943,130",-3.567957952,"1,405,429",-8.276957952,"463,408",-5.344457952,-1,87.416042048,"402,750",-8.276957952,"763,622",-3.627457952
