ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780007246847,5.21,"4,535,915",-9.5056617,"3,359,347",-9.6048696,"1,542,464",-9.7812392,"5,220,902",-9.7812392,-1,-9.7812392,-1,-9.7812392,-1,-9.7812392,-1,-9.7812392,0,-9.42,"1,530,859",-9.7812392
9780062663238,3.96,-1,-8.406127015,-1,-1.08279032,"811,716",-4.62058064,"675,879",-3.79608064,-1,-9.21908064,-1,-4.84158064,-1,-3.94908064,-1,-9.21908064,-1,-9.21908064,-1,-2.31708064
9780064404112,3.96,"1,340,420",-9.150632633,"3,140,417",-9.397660304,"3,478,424",-9.836820608,"1,058,093",-9.836820608,-1,-9.836820608,-1,-9.836820608,-1,-9.836820608,-1,-9.836820608,-1,-9.836820608,"2,780,835",-9.836820608
9780064430203,3.96,"269,678",-2.314969956,"184,194",-1.132931328,"2,162,601",-8.418362656,"683,726",-2.884862656,"418,342",-5.273362656,"210,790",-5.366862656,"297,518",-5.222362656,-1,91.040137344,"638,108",-8.418362656,"80,817",-8.418362656
9780064431880,3.96,"252,132",-2.280247191,"369,369",-0.985565008,"567,715",-3.703630016,"467,913",-2.301130016,"282,610",-2.777130016,"403,176",-3.380630016,"371,482",-2.471130016,-1,-8.259630016,-1,-8.259630016,"77,183",-8.259630016
9780064432511,3.96,"443,647",-2.332717147,"157,173",-1.173496336,"1,009,046",-4.011492672,"515,057",-2.540992672,"556,679",-3.025492672,"557,316",-2.880992672,"550,648",-2.710992672,-1,103.734507328,-1,-8.499492672,"248,478",-8.499492672
9780064432542,3.96,"431,883",-2.297222765,"154,735",-1.42386632,"505,688",-3.80673264,"394,348",-2.37873264,"178,996",-2.88023264,"149,491",-3.95973264,"517,891",-2.54873264,-1,84.32126736,-1,-8.33723264,"169,132",-8.33723264
9780071814461,3.96,"1,161,851",-3.507147777,"505,145",-4.477337776,"1,770,872",-10.655175552,"2,346,255",-4.764675552,"1,072,236",-5.172675552,"1,381,261",-6.277675552,-1,-4.866675552,-1,102.896324448,-1,-10.655175552,"1,231,694",-3.685175552
9780152006433,3.96,"70,755",-2.419909868,"1,046,386",-0.157293984,"940,282",-4.401587968,"920,653",-4.223087968,"896,658",-3.441087968,"515,015",-4.350587968,"1,425,149",-4.350587968,-1,101.950412032,-1,-8.739355328,"2,279,402",-8.898087968
9780152007713,3.96,"4,016,178",-8.301187103,"81,771",-0.031728976000001,"1,266,213",-8.816957952,"436,257",-3.283457952,"424,352",-3.342957952,"461,867",-8.816957952,"248,946",-8.816957952,"201,308",84.691542048,-1,-8.816957952,"121,486",-8.816957952
9780152009984,3.96,"2,478,482",-8.318162677,-1,-8.497728976,"8,266,532",-8.658225312,"3,471,313",-3.124725312,"674,254",-3.141725312,-1,-3.286225312,-1,-3.286225312,-1,102.190274688,-1,-8.816957952,"146,343",-1.416225312
9780152013318,3.96,"403,201",-2.402162677,"665,787",-0.949728976,"1,429,128",-4.260957952,"1,420,376",-3.716957952,"701,832",-3.342957952,-1,-3.861457952,"714,823",-3.861457952,-1,102.431042048,-1,-8.816957952,"261,969",-1.838457952
9780152019907,3.96,"14,411",-2.472379824,"132,271",-0.277225312,"1,854,566",-9.137950624,"514,751",-3.179450624,"323,838",-3.179450624,"499,896",-1.377450624,"183,991",-9.137950624,-1,83.520549376,-1,-9.137950624,"181,172",-9.137950624
9780152045647,3.96,"1,322,042",-2.349692721,"885,185",-8.377797648,"5,289,842",-3.978595296,-1,-3.477095296,-1,-3.086095296,-1,-2.788595296,-1,-2.788595296,-1,104.251904704,"1,276,794",-8.577095296,"2,398,077",-1.564595296
9780152046385,3.96,"659,383",-2.419909868,"1,293,528",-8.538293984,"4,622,483",-4.299587968,"2,361,644",-2.939587968,"2,003,335",-3.407087968,-1,-3.109587968,-1,-3.109587968,-1,102.349912032,-1,-9.519355328,"962,648",-1.885587968
9780152047511,3.96,"597,807",-2.402162677,"558,945",-1.663728976,"954,947",-4.116457952,"1,487,777",-3.283457952,"1,649,563",-3.300457952,"793,798",-3.555457952,-1,-3.444957952,-1,-8.816957952,-1,-8.259630016,"558,252",-1.574957952
9780152050368,3.96,"2,270,923",-2.332717147,"4,607,727",-8.338996336,"4,763,928",-8.499492672,"3,506,133",-8.499492672,-1,-8.499492672,-1,-8.499492672,-1,-8.499492672,-1,-8.499492672,0,-8.17,"2,856,845",-8.499492672
9780152050559,3.96,"266,615",-2.3396617,"367,826",0.1111304,"2,532,733",-8.5312392,"273,970",-2.5727392,"214,672",-3.1592392,"325,270",-3.5842392,"84,905",-2.7427392,-1,-8.5312392,"175,491",-8.5312392,"90,699",-1.5442392
9780152053154,3.96,-1,-9.115909868,"21,120",-0.277225312,-1,-9.678087968,"71,592",-3.952950624,"45,516",-3.663950624,"106,232",-4.760450624,"83,479",-3.765950624,-1,90.643549376,"38,904",-9.137950624,"52,404",-2.626950624
9780152055325,3.96,"293,414",-2.332717147,"376,308",0.042003664,"1,318,085",-3.900992672,"529,367",-3.399492672,-1,-3.008492672,"585,196",-3.203992672,-1,-3.543992672,-1,90.109007328,-1,-8.499492672,"405,920",-1.486992672
9780152056490,3.96,-1,-11.024804836,"118,237",-0.22078704,"127,188",-4.46907408,"358,541",-3.49157408,"235,561",-3.54257408,"318,184",-3.65307408,"232,975",-3.65307408,-1,-9.02507408,"299,431",-9.02507408,290,-2.05507408
9780152056636,3.96,"1,122,382",-2.349692721,-1,-8.377797648,"10,639,325",-3.978595296,"3,642,653",-2.618595296,-1,-3.086095296,-1,-2.788595296,-1,-2.788595296,-1,92.283904704,-1,-8.577095296,"1,078,362",-1.564595296
9780152058876,3.96,"209,926",-4.363662677,"302,795",-0.896728976,"752,193",-9.596957952,"880,419",-4.063457952,"725,467",-4.122957952,"672,755",-9.596957952,-1,-9.596957952,-1,88.646042048,"1,056,234",-9.596957952,"180,682",-9.596957952
9780152058913,3.96,"275,230",-2.367439912,"631,246",-1.354862656,"1,190,914",-4.093725312,"392,935",-2.699725312,"355,760",-3.184225312,"389,209",-4.280725312,"358,132",-2.869725312,-1,-8.658225312,"474,327",-8.658225312,"478,581",-1.662725312
9780152060459,3.96,"10,157",-4.138379824,"334,905",-8.658225312,"659,033",-4.624450624,"1,364,736",-3.179450624,"576,114",-3.689450624,"1,703,226",-4.284450624,"213,820",-3.349450624,"35,852",66.928549376,-1,-8.979217984,"51,501",-2.167950624
9780152060602,3.96,"818,430",-2.385187103,"543,669",-0.077927664,"3,486,738",-8.739355328,-1,-3.205855328,"314,709",-3.299355328,-1,-8.739355328,-1,-8.739355328,-1,105.636644672,-1,-8.739355328,"533,290",-8.739355328
9780152060664,3.96,"692,728",-8.349798974,"347,000",-8.570040512,"480,281",-8.961581024,"284,663",-8.961581024,"154,015",-8.961581024,"372,206",-8.961581024,"161,028",-8.961581024,-1,-8.961581024,-1,-8.961581024,"102,965",-8.961581024
9780152062217,3.96,"1,856,742",-3.147439912,"1,865,361",-9.198362656,"2,343,486",-9.438225312,"1,733,003",-9.438225312,"2,944,318",-9.438225312,"1,235,077",-9.438225312,-1,-9.438225312,-1,-9.438225312,-1,-9.438225312,"2,528,458",-9.438225312
9780152162757,3.96,-1,-8.318162677,"146,311",-0.774927664,"240,627",-4.149355328,"293,877",-3.205855328,"509,227",-3.265355328,"154,147",-4.361855328,"130,775",-3.367355328,-1,104.242644672,"911,656",-8.739355328,"65,323",-1.769355328
9780152167769,3.96,"478,550",-2.385187103,"2,346,894",-8.458927664,"7,955,871",-8.739355328,"4,578,205",-8.739355328,"3,194,724",-3.299355328,-1,-2.950855328,-1,-8.739355328,-1,91.858144672,-1,-8.739355328,-1,-1.794855328
9780194391900,6.6,"3,773,805",-10.881772594,"887,917",-10.963123072,"4,126,627",-5.217246144,"506,499",-4.724246144,"351,855",4.064753856,-1,-2.072246144,"1,529,119",-3.007246144,-1,-11.107746144,-1,-11.107746144,"68,724",-11.107746144
9780199535545,3.96,"6,808,714",-8.177728383,"87,070",-2.719297264,"2,279,609",-8.174972608,"138,734",-1.433594528,"47,758",-1.926594528,"51,173",-1.246594528,"160,838",0.402405472,"189,043",83.566405472,"263,553",-9.092094528,"74,869",-2.105094528
9780199535576,3.96,-1,-8.177728383,"178,003",-3.597598576,"5,156,472",-8.174972608,"22,103",-4.841197152,"6,541",-4.764697152,"75,553",-3.141197152,"302,544",-0.455197152,-1,83.711802848,0,-8.17,"35,607",-3.506697152
