ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780007184040,3.98,"1,114,497",-2.4028234,"662,504",-0.1362392,"210,389",-2.9539784,"1,336,639",-2.1039784,"422,089",-1.7469784,-1,-2.2909784,"625,830",-0.3954784,-1,-8.9039784,"756,569",-8.9039784,"1,238,255",-2.0189784
9780007245161,3.98,"422,285",-3.199798974,"170,669",-0.955040512,"59,868",-3.811581024,"289,178",-3.182581024,"199,404",-2.579081024,"411,984",-2.732081024,"187,051",-2.732081024,-1,89.696918976,"465,126",-9.761581024,"1,531,296",-2.757581024
9780007245178,3.98,"289,871",-3.431662677,"121,496",-0.797728976,"37,169",-3.666957952,"316,579",-2.995457952,"230,487",-2.451457952,"218,991",-3.896457952,"143,221",-2.621457952,-1,101.121042048,"504,341",-9.616957952,"1,203,872",-2.612957952
9780007245185,3.98,-1,-9.254738886,"142,256",-0.98678704,"2,076,769",-10.241306336,"400,675",-3.01657408,"150,291",1.07192592,"447,492",0.95292592,"137,230",0.92742592,-1,83.69192592,"389,537",-9.82507408,-1,-9.82507408
9780007245192,3.98,"228,502",-2.371187103,"98,417",-0.063927663999999,"33,143",-3.871855328,"136,137",-2.970855328,"148,172",-0.726855328,"429,629",-8.759355328,"102,798",-8.759355328,-1,104.018644672,-1,-8.759355328,"815,565",-1.721355328
9780007270309,3.98,"402,955",-3.256127015,"195,378",-0.99879032,"57,189",-4.06908064,"265,382",-1.51908064,"512,913",-2.04608064,"1,560,663",-1.76558064,"167,015",-1.76558064,-1,110.21341936,0,-8.19,-1,-2.99808064
9780007270316,3.98,"472,991",-2.43368808,"237,203",-0.20678704,"80,536",-3.09507408,"226,384",-2.15157408,"356,941",-2.24507408,-1,-2.34707408,"154,910",-2.34707408,-1,-9.04507408,"556,530",-9.04507408,-1,-2.07507408
9780007270323,3.98,"510,115",-3.199798974,"331,587",-0.870040512,"109,696",-3.811581024,"232,872",-2.868081024,"587,770",-2.961581024,"1,007,291",-9.761581024,"177,889",-3.063581024,-1,106.118918976,"555,914",-9.761581024,"1,212,711",-2.477081024
9780007270330,3.98,"379,260",-8.197728383,"230,932",-0.870040512,"73,920",-8.194972608,"246,013",-2.978581024,"324,337",-8.194972608,"1,541,313",-2.732081024,"359,862",-2.732081024,-1,109.552918976,-1,-9.761581024,-1,-2.723581024
9780007286119,3.98,"1,619,284",-2.3256617,"792,597",-0.7248696,"177,139",-2.6012392,"373,742",-3.2642392,"173,660",-3.5957392,"274,053",-1.5217392,"1,357,813",-1.5217392,-1,-8.5512392,-1,-8.5512392,"181,208",-2.2102392
