ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9781222973150,0.75,-1,-4.327657059,-1,-5.368858992,-1,-5.769217984,-1,-5.769217984,-1,-5.769217984,-1,-5.769217984,-1,-5.769217984,-1,-5.769217984,0,-4.96,-1,-4.808717984
9780531237144,0.75,"807,476",-4.1871617,-1,-5.1448696,-1,-5.3212392,-1,-5.3212392,-1,-5.3212392,-1,-5.3212392,-1,-5.3212392,-1,-5.3212392,-1,-5.3212392,-1,-5.3212392
9780766637399,0.75,"6,850,566",-5.073439912,-1,-5.208362656,-1,-5.448225312,-1,-5.448225312,-1,-5.448225312,-1,-5.448225312,-1,-5.448225312,-1,-5.448225312,-1,-5.448225312,"795,722",-5.448225312
9780766637405,0.75,"8,200,602",-5.160632633,-1,-5.407660304,-1,-5.846820608,-1,-5.846820608,-1,-5.846820608,-1,-5.846820608,-1,-5.846820608,-1,-5.846820608,-1,-5.846820608,-1,-5.846820608
9781505051537,0.57,"1,639,313",-4.875692721,"4,923,408",-4.987797648,-1,-5.187095296,-1,-5.187095296,-1,-5.187095296,-1,-5.187095296,-1,-5.187095296,-1,-5.187095296,0,-4.78,-1,-5.187095296
9781505054767,0.57,"947,404",-4.875692721,-1,-4.987797648,-1,-5.187095296,-1,-5.187095296,-1,-5.187095296,-1,-5.187095296,-1,-5.187095296,-1,-5.187095296,0,-4.78,-1,-5.187095296
9789707186996,0.89,"21,227,608",-5.213439912,"5,000,192",-5.348362656,-1,-5.588225312,-1,-5.588225312,-1,-5.588225312,-1,-5.588225312,-1,-5.588225312,-1,-5.588225312,0,-5.1,"3,160,569",-5.588225312
9789707187016,0.89,"11,858,253",-5.217297997,"2,991,136",-5.357181136,-1,-5.605862272,-1,-5.605862272,-1,-5.605862272,-1,-5.605862272,"497,121",-5.605862272,-1,-5.605862272,"1,323,503",-5.605862272,"3,165,061",-5.605862272
9789709364811,0.77,"5,093,644",-5.180632633,-1,-5.427660304,-1,-5.866820608,-1,-5.866820608,-1,-5.866820608,-1,-5.866820608,-1,-5.866820608,-1,-5.866820608,-1,-5.866820608,-1,-4.719320608
9788493529734,0.9,"8,895,448",-5.293657059,"4,109,489",-5.518858992,-1,-5.919217984,"8,207,357",-5.919217984,"2,203,924",7.179282016,-1,7.179282016,"359,716",-5.919217984,"353,645",-5.919217984,-1,-5.919217984,-1,-5.919217984
