ISBN,PriceDiscounted
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78049E+12,2.28
9.78079E+12,3.8
9.78082E+12,2.28
9.78082E+12,2.28
9.7809E+12,2.28
9.7809E+12,2.28
9.78098E+12,2.28
9.78133E+12,8.95
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78141E+12,3.8
9.78143E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.7816E+12,2.28
9.78161E+12,2.28
9.78161E+12,2.28
9.78161E+12,3.6
9.78168E+12,2.28
9.78168E+12,2.28
9.78168E+12,2.28
9.78168E+12,2.28
9.78168E+12,2.28
9.78187E+12,2.28
9.78189E+12,2.28
9.78191E+12,2.28
9.78193E+12,2.28
9.78195E+12,2.28
9.78195E+12,2.28
9.78195E+12,2.28
9.7838E+12,3.8
9.7885E+12,2.28
9.7885E+12,2.28
9.7885E+12,2.28
9.78084E+12,2.34
9.78155E+12,3.89
9.78069E+12,2.39
9.78163E+12,2.39
9.78037E+12,2.42
9.78072E+12,3.4
9.78078E+12,2.42
9.78195E+12,2.42
9.78148E+12,2.45
9.78148E+12,2.45
9.78148E+12,2.45
9.78148E+12,2.45
9.78148E+12,2.45
9.78148E+12,2.45
9.78148E+12,2.45
9.78148E+12,2.45
9.78148E+12,2.45
9.78162E+12,2.45
9.78162E+12,2.45
9.78162E+12,2.45
9.78044E+12,2.47
9.7816E+12,4.25
9.7816E+12,4.25
9.7816E+12,4.27
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.78194E+12,2.56
9.78006E+12,2.56
9.78006E+12,2.56
9.78037E+12,2.56
9.78037E+12,2.56
9.78037E+12,2.56
9.78037E+12,2.56
9.78047E+12,4.27
9.78049E+12,2.56
9.78049E+12,2.56
9.78049E+12,2.56
9.78049E+12,2.56
9.78062E+12,2.56
9.78062E+12,2.56
9.78062E+12,2.56
9.78078E+12,9.45
9.78079E+12,2.56
9.7808E+12,2.56
9.78081E+12,2.56
9.78082E+12,9.45
9.78088E+12,2.56
9.78089E+12,2.56
9.7809E+12,2.56
9.78132E+12,4.27
9.78132E+12,4.27
9.78142E+12,2.56
9.78153E+12,2.56
9.78156E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.7816E+12,2.56
9.78161E+12,2.56
9.78161E+12,4.27
9.78162E+12,2.56
9.78162E+12,2.56
9.78162E+12,2.56
9.78162E+12,2.56
9.78162E+12,2.56
9.78162E+12,2.56
9.78162E+12,2.56
9.78162E+12,2.56
9.78162E+12,2.56
9.78162E+12,2.56
9.78162E+12,2.56
9.78162E+12,2.56
9.78163E+12,2.56
9.78178E+12,2.56
9.78178E+12,2.56
9.78185E+12,2.56
9.78186E+12,2.56
9.78195E+12,2.56
9.78195E+12,2.56
9.78842E+12,2.56
9.78015E+12,3.72
9.78006E+12,2.71
9.78026E+12,3.8
9.78026E+12,3.8
9.78026E+12,2.71
9.78037E+12,2.71
9.78037E+12,2.71
9.78037E+12,2.71
9.78037E+12,2.71
9.78037E+12,2.71
9.78037E+12,2.71
9.78037E+12,2.71
9.78037E+12,2.71
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78122E+12,3.56
9.78843E+12,2.71
9.78842E+12,3.11
9.78054E+12,2.74
9.78163E+12,2.79
9.78006E+12,2.82
9.78006E+12,2.82
9.78006E+12,2.82
9.78006E+12,2.82
9.78019E+12,4.7
9.78019E+12,4.7
9.78019E+12,4.7
9.78019E+12,4.7
9.78019E+12,4.7
9.78019E+12,3.96
9.7802E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78031E+12,2.82
9.78032E+12,2.82
9.78044E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78045E+12,2.82
9.78049E+12,2.82
9.78049E+12,2.82
9.78049E+12,2.82
9.78049E+12,2.82
9.78049E+12,2.82
9.78049E+12,2.82
9.78049E+12,2.82
9.78049E+12,2.82
9.78049E+12,2.82
9.78049E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78052E+12,2.82
9.78053E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78055E+12,2.82
9.78059E+12,2.82
9.78063E+12,2.82
9.78068E+12,2.82
9.78072E+12,2.82
9.78072E+12,2.82
9.78072E+12,3.96
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
9.78074E+12,2.82
