ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780310443964,$16.00,"1,414,097",23.4,"2,976,304",32.41,"1,979,642",-8.79,"1,296,049",17.41,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9780718084202,$20.50,"2,554,604",28.16,"2,078,262",47.61,"2,328,895",19.56,0,-6.94,-1,43.42,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9780718084189,$25.00,"887,414",48.91,-1,56.39,-1,37.19,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9781418544065,$20.00,"2,381,850",-7.78,"2,267,515",-8.08,"3,822,408",-9.18,-1,-9.18,-1,-9.18,-1,-9.18,-1,-9.18,-1,-9.18,"895,538",-9.18,"2,201,700",-9.18
9781433554643,$16.00,"3,498,512",-7.39,0,-5.84,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9781433548369,$25.00,"1,077,779",-7.78,"1,786,130",-8.08,"1,565,530",37.57,0,-6.94,0,-6.94,0,-6.94,0,-6.94,-1,-9.18,0,-6.94,0,-6.94
9781433542015,$19.00,"653,016",-7.78,"1,787,242",-8.08,"2,428,707",-9.18,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,"3,035,253",-9.18
9781433542008,$19.00,"2,647,468",-7.78,-1,-8.08,"1,532,155",-9.18,-1,-9.18,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,"1,323,332",-9.18
9781433541995,$19.00,"1,256,932",-7.78,"2,317,628",-8.08,"676,519",46.07,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,"406,585",-9.18
9781433553318,$16.00,"1,072,056",27.3719362,"1,075,697",39.9264362,"2,460,012",36.6454362,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781433553301,$16.00,"1,304,229",23.37,0,-5.84,"4,258,375",-8.79,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9781433548406,$17.00,"55,226",30.0892352,"276,964",39.6517352,"1,789,710",30.3017352,"597,850",24.1647352,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,-1,42.9752352
9781433555381,$16.00,"22,854",28.1959754,"191,672",44.1589754,"176,426",25.6034754,"401,602",23.9884754,0,-1.8,0,-1.8,0,-1.8,-1,609.7234754,0,-1.8,0,-1.8
9781433554742,$17.00,"617,291",34.8823136,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781433524707,$19.00,"855,035",31.1843847,"423,235",46.8923847,"639,468",33.0798847,"1,519,270",27.0533847,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,-1,48.3713847
9781433553394,$25.00,"332,885",43.3675857,"496,910",65.6800857,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,"258,021",899.6830857,0,-1.8,0,-1.8
9781433557729,$22.50,"299,930",47.2556764,"195,942",47.9271764,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781433545597,$17.00,"729,292",31.1629362,"419,988",44.8309362,"422,016",18.7954362,"785,773",25.4509362,-1,28.7829362,"456,928",34.1804362,-1,37.5974362,-1,661.1829362,0,-1.8,0,-1.8
9781433544163,$17.00,"604,145",35.3180857,"220,086",35.6325857,"1,202,976",30.4985857,0,-1.8,"1,201,237",42.7895857,0,-1.8,0,-1.8,"88,863",744.9065857,0,-1.8,-1,49.0795857
9781602558557,$20.00,"2,985,101",66.9,0,-5.84,-1,60.64,0,-6.94,0,-6.94,-1,62.05,"869,634",58.57,"228,702",-7.41,0,-6.94,"1,077,436",-7.41
9782080201522,$16.00,"1,761,920",19.38,"704,551",36.34,"262,468",5.33,"652,458",-9.96,"440,996",53.8,"159,795",16.37,"221,428",5.94,-1,-9.96,0,-6.94,"891,002",43.84
9780062225139,$16.00,"815,495",32.59,"639,498",40.25,"205,883",33.79,"640,097",21.9,"304,499",27.77,"323,198",25.37,"457,537",25.14,0,-6.94,-1,-9.57,"243,456",44.1
9780718090913,$16.00,"261,685",22.72,"424,553",38.64,"51,635",14.3,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,"839,493",46.61
9780310446101,$16.00,"174,570",22.85,0,-5.84,"2,744,251",8.67,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,-1,28.15
9780310446118,$19.00,"601,345",28.29,0,-5.84,"1,539,628",29.08,-1,22.71,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,-1,34.27
9780718090883,$16.00,"184,632",18.74,"298,441",34.12,"1,793,077",9.5,-1,18.21,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9780718085605,$20.50,"3,255,954",34.56,0,-5.84,"2,542,826",26.22,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9780718085728,$20.50,"732,578",52.11,-1,53.35,-1,29.47,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
