ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9781441324238,2.95,"4,090",-4.666389106,"11,995",-3.79826237,"10,422",-4.681993056,"210,091",-7.231993056,-1,-7.231993056,"19,906",-4.639493056,"45,622",-4.664993056,"7,021",-7.231993056,-1,-7.231993056,-1,-7.231993056
9781593593148,2.95,"4,123",-4.666389106,"5,975",-3.79826237,"3,762",-5.098493056,"1,254,005",-7.231993056,"419,677",-7.231993056,"2,518",-4.902993056,"7,747",-4.919993056,"8,745",-7.231993056,"297,547",-7.231993056,"2,215,033",-7.231993056
9780769647197,2.99,-1,-9.991532242,-1,-10.54356909,"5,426,172",-11.716647392,"3,510,271",-11.716647392,"1,815,630",-11.716647392,"177,519",-8.549355328,801,-5.659355328,"4,337",-8.549355328,-1,-11.716647392,"1,890",-8.549355328
9780769646794,2.99,361,-5.543439912,128,-4.81337124,777,-6.079725312,"1,002,848",-8.468225312,"25,060",-4.974725312,"170,365",-8.468225312,"11,965",-5.578225312,"4,642",-8.468225312,"180,963",-8.468225312,"26,799",-8.468225312
9780718096267,2.99,"168,759",-5.718596971,-1,-8.588707795,"1,176,529",-7.262943296,-1,-9.268943296,-1,-9.268943296,"35,016",-6.786943296,"120,505",-6.914443296,"12,763",-9.268943296,-1,-9.268943296,"146,286",-6.140943296
9780769646893,2.99,449,-5.578162677,120,-4.887777165,730,-6.229957952,"1,106,466",-8.626957952,"54,495",2.822542048,"132,197",-8.626957952,"9,229",-5.736957952,"2,066",-8.626957952,"48,206",-8.626957952,"44,395",-8.626957952
9781474821131,2.99,"49,278",-7.313439912,"544,800",-7.43337124,"3,793,631",-7.688225312,-1,-7.688225312,-1,-7.688225312,-1,-7.688225312,"155,144",-7.688225312,-1,-7.688225312,"264,381",-7.688225312,"273,295",-7.688225312
9780718091750,2.99,"189,112",-5.70084978,"309,580",-5.1506781,"338,502",-5.78781328,"634,882",-6.63781328,-1,-9.18781328,"24,916",-6.71431328,"92,767",-6.71431328,-1,-9.18781328,"54,480",-9.18781328,"58,165",-9.18781328
9780769677217,2.99,"1,176",-5.561187103,"3,524",-4.851400935,"41,865",-6.194855328,"2,035,235",-8.549355328,"61,788",-5.472355328,"387,942",-8.549355328,"25,207",-8.549355328,"13,678",-8.549355328,"363,803",-8.549355328,"42,058",-5.446855328
9780486292687,3.5,"704,133",-4.787469956,"2,869,781",-3.78493562,"5,795,665",-5.408362656,"3,436,490",-7.958362656,"1,321,794",-5.178862656,-1,-7.958362656,"1,052,591",-4.949362656,-1,-7.958362656,"95,716",-7.958362656,"2,755,566",-7.958362656
