ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780029001516,,"136,557",6.95,"280,959",12.02,"722,412",10.94,"56,744",13.48,"211,695",11.55,"76,862",10.34,"179,396",12.59,"3,265",-8.4,"118,226",-8.4,"128,703",-8.4
9781119238720,,"3,420,940",-7.78,0,-5.84,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9781119392200,,"2,005,899",-5.55,0,-5.84,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9781285428765,,"460,529",-7.39,"628,298",-7.69,"2,190,303",60.91,-1,74.15,-1,82.88,-1,70.06,-1,73.42,-1,4716.82,-1,-8.79,-1,250.41
9781284136562,,"333,653",119.34,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781284162776,,"67,500",53.86,0,-1.8,0,-1.8,-1,44.05,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781284131062,,"13,868",61.48,"1,720,227",91.15,"2,046,375",43.97,-1,63.55,-1,56.86,-1,63.1,-1,63.1,-1,1352.76,-1,-8.79,-1,83.5
9781284107029,,"139,612",235.21,-1,-9.25,-1,204.66,-1,250.6,-1,238.06,-1,255.52,-1,243.29,-1,-10.35,-1,-10.35,-1,318.54
9781284106909,,"174,386",166.95,"1,374,527",233.61,-1,141.27,"149,900",146.13,-1,174.03,-1,156.07,-1,186.97,-1,3659.96,-1,-10.35,-1,230.2
9781284110524,,"264,641",285.1921249,-1,-3.8163751,-1,222.2666249,-1,347.6671249,-1,342.6606249,-1,350.9226249,-1,337.8156249,-1,5522.4416249,-1,-3.8163751,-1,428.2131249
9781284116588,,"635,884",410.0561714,-1,544.2541714,-1,318.1711714,0,-1.8,-1,377.4076714,0,-1.8,-1,368.3466714,0,-1.8,0,-1.8,-1,480.4361714
9781284116564,,"1,717,197",249.7716714,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781284080179,,"3,099",81.13,"32,201",121.11,"1,731,648",83.15,-1,97.36,-1,98.32,-1,92.18,-1,-10.35,"228,694",1768.09,"895,135",-10.35,-1,125.75
