UPC,PriceNet_$,,UPC
0600753030523,18.44,,00600753030523
0050087310882,18.44,,00050087310882
0888751842519,23.99,,00888751842519
0720642442517,18.44,,00720642442517
0888750142818,18.88,,00888750142818
0728706300018,17.74,,00728706300018
0050087350642,26.79,,00050087350642
0889854323417,14.99,,00889854323417
0889853030811,14.99,,00889853030811
0190295859015,22.95,,00190295859015
0767981113517,13.67,,00767981113517
0093624979357,19.14,,00093624979357
0886973533918,18.88,,00886973533918
0093624930242,19.14,,00093624930242
0094638246817,17.63,,00094638246817
0889854809010,18.88,,00889854809010
0075678654695,22.95,,00075678654695
0075678662720,15.32,,00075678662720
0602547635129,18.44,,00602547635129
0602537192267,15.48,,00602537192267
0886977844218,26.02,,00886977844218
0081227979379,19.14,,00081227979379
0731453002210,18.44,,00731453002210
0602557409499,18.44,,00602557409499
0602557681949,26.79,,00602557681949
0843930033102,13.22,,00843930033102
0889854478711,18.88,,00889854478711
0075678669637,21.39,,00075678669637
0602547567901,30.95,,00602547567901
0602547658708,23.1,,00602547658708
0888751842618,23.99,,00888751842618
0889854143213,15.46,,00889854143213
0602527867960,18.44,,00602527867960
0889854390310,21.65,,00889854390310
0602547820754,18.44,,00602547820754
0602537498031,18.44,,00602537498031
0602567098348,18.44,,00602567098348
0602567775539,10.62,,00602567775539
0050087384715,14.72,,00050087384715
0081227962333,15.32,,00081227962333
0081227959357,15.32,,00081227959357
0075678666636,15.32,,00075678666636
0602517341296,13.8,,00602517341296
0025218000215,18.44,,00025218000215
0886976805715,18.88,,00886976805715
0728706300810,22.92,,00728706300810
8809440338238,20.01,,08809440338238
0094638241713,17.63,,00094638241713
8809440338092,16.82,,08809440338092
0075678673542,16.11,,00075678673542
0077771187216,14.72,,00077771187216
0602557218190,12.64,,00602557218190
0050087404079,10.44,,00050087404079
0843930013548,18.44,,00843930013548
0075678659270,12.4,,00075678659270
0081227965778,19.14,,00081227965778
0081227965761,19.14,,00081227965761
0854206001305,3.58,,00854206001305
0602567126034,5.16,,00602567126034
0190758132112,9,,00190758132112
0190295994082,16.88,,00190295994082
0075679886606,16.88,,00075679886606
0602567426233,11.39,,00602567426233
0825646287376,16.88,,00825646287376
0602567838098,11.39,,00602567838098
0889854556112,14.99,,00889854556112
0050087364045,20.71,,00050087364045
0076744006523,10.44,,00076744006523
0889854746919,13.58,,00889854746919
0888750569813,19.33,,00888750569813
0602547255228,18.44,,00602547255228
0081227966416,19.14,,00081227966416
0050087350673,26.79,,00050087350673
0602557991291,15.48,,00602557991291
0602567775546,26.79,,00602567775546
0728706300216,17.74,,00728706300216
0843930033157,33.33,,00843930033157
0602567359562,23.1,,00602567359562
0602567964438,10.72,,00602567964438
0190758142012,18.88,,00190758142012
0602567483908,26.79,,00602567483908
0720642414811,18.44,,00720642414811
0602567334453,10.44,,00602567334453
0602557696509,10.72,,00602557696509
0190295643423,14.48,,00190295643423
0094638241812,17.63,,00094638241812
0829619167023,10.44,,00829619167023
0602567334460,15.48,,00602567334460
0190758189413,15,,00190758189413
0075678657153,10.09,,00075678657153
0602547822291,18.44,,00602547822291
8809616986058,21.43,,08809616986058
0075678668432,19.7,,00075678668432
0602577052354,11.39,,00602577052354
0602547311009,20.71,,00602547311009
0190758705026,9.35,,00190758705026
0851491003342,14.68,,00851491003342
0602567673354,10.44,,00602567673354
0888072067585,10.73,,00888072067585
0050087307301,6.67,,00050087307301
0888751767713,20.11,,00888751767713
0602527192680,10.44,,00602527192680
0081227961619,19.14,,00081227961619
0892038002244,11.3,,00892038002244
0602567696865,33.33,,00602567696865
0889853416226,9.35,,00889853416226
0190758954820,8.68,,00190758954820
0889854124229,9.35,,00889854124229
0011105015516,18.44,,00011105015516
0093624904441,13.26,,00093624904441
0602567712183,11.39,,00602567712183
0602498603192,10.44,,00602498603192
0602547137029,23.1,,00602547137029
0602577167935,9.69,,00602577167935
0075678660115,12.74,,00075678660115
0050087354701,6.67,,00050087354701
0889854769123,9.35,,00889854769123
0602557970593,8.25,,00602557970593
0602567743576,10.37,,00602567743576
0886974469919,13,,00886974469919
0889854281915,19.33,,00889854281915
0602557705218,10.44,,00602557705218
