ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
0600753030523,18.44,"1,177",-5.224875183,100,1.554767465,715,-11.237429408,"1,006",-12.605929408,335,-12.095929408,209,-6.145929408,484,-6.562429408,"2,775",459.662570592,"2,598",-24.845929408,"108,104",-24.845929408
0050087310882,18.44,-1,-22.657728383,-1,-22.656846535,-1,-22.654972608,-1,-22.654972608,"4,427",3.82660608,"37,306",-1.83439392,"9,686",0.069606079999996,"2,159",470.06010608,"5,570",-27.19839392,"249,550",-3.48339392
0888751842519,23.99,-1,-28.207728383,-1,-28.206846535,"497,966",-2.977523936,-1,-28.204972608,"278,285",4.247476064,"130,097",14.370976064,"170,622",8.055476064,299,433.828976064,"3,158",-32.829523936,"66,508",-6.683523936
0720642442517,18.44,265,-6.83226893,830,4.33599515,435,-10.86144368,570,-14.26144368,280,-11.71144368,107,-13.41144368,584,-10.86144368,"1,653",464.35655632,"12,416",-24.46144368,"43,964",-24.46144368
0888750142818,18.88,"3,435",-7.697784074,"6,585",0.75839127,"11,159",-10.419798624,"15,430",-9.569798624,"17,393",-25.719798624,"2,747",-7.427798624,"2,799",-25.719798624,"5,542",-25.719798624,"4,497",-25.719798624,"368,784",-0.398298624
0728706300018,17.74,-1,-21.957728383,-1,-21.956846535,-1,-21.954972608,"23,277",-26.49839392,"25,976",-26.49839392,"9,482",-26.49839392,"9,191",-26.49839392,"2,329",429.11010608,"37,379",-26.49839392,"90,463",-0.36939392
0050087350642,26.79,272,-6.826250366,549,-34.62796507,"245,282",-36.123358816,"279,564",-36.123358816,"220,859",-36.123358816,"71,589",-36.123358816,"169,216",-36.123358816,709,-36.123358816,"11,230",-36.123358816,"186,306",-36.123358816
0889854323417,14.99,"3,602",-5.983036883,-1,7.040920965,"19,318",-7.298668608,"43,212",-5.598668608,"22,658",-3.575668608,"17,463",-4.578668608,"9,033",-6.448668608,"14,898",312.309831392,-1,-21.748668608,"203,785",1.286331392
0889853030811,14.99,"69,203",-5.91918808,"29,240",-20.3853316,"68,613",-4.68507408,"163,849",-4.68507408,"9,306",-20.83507408,"41,206",-0.78357408,"33,817",-3.83507408,"16,343",273.76642592,"6,996",-20.83507408,"302,726",-0.018574079999999
0190295859015,22.95,212,-9.688916707,637,-30.743321515,665,-15.179619232,"2,320",-14.508119232,"2,079",-10.164619232,576,-13.148119232,"3,756",-32.188119232,"4,203",442.970380768,-1,-32.188119232,"30,071",-8.473119232
