ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9781440247101,3.995,"1,968,889",2.199210308,-1,9.34445066,"2,232,224",-1.611538592,"303,717",3.989961408,-1,-0.472538592,-1,1.465461408,-1,1.635461408,-1,-10.672538592,-1,-10.672538592,-1,3.046461408
9781906672553,3.995,"1,830,439",-11.196381045,"2,005,548",-11.976816525,"554,612",-13.63524192,"3,651,853",-13.63524192,"2,006,703",-13.63524192,"1,313,737",-13.63524192,"1,317,762",-13.63524192,-1,-13.63524192,-1,-13.63524192,"367,046",-13.63524192
9781847322333,1.995,"3,276,928",-1.138960674,-1,-7.52591573,"7,311,331",-8.129320224,"3,132,509",-8.129320224,-1,-8.129320224,-1,-8.129320224,-1,-8.129320224,"258,183",-8.129320224,-1,-8.129320224,-1,-8.129320224
9781462112371,3.495,"2,400,107",1.887306058,-1,-11.21391559,-1,-12.574386592,-1,-12.574386592,-1,-12.574386592,-1,-12.574386592,-1,-12.574386592,-1,-12.574386592,-1,-12.574386592,-1,-12.574386592
9781564777829,2.995,"4,281,363",-8.360789692,"3,944,690",-8.78054934,-1,-9.672538592,"3,320,257",10.404461408,"2,832,788",1.360461408,-1,9.018961408,"986,084",9.018961408,-1,-9.672538592,-1,-9.672538592,"2,243,048",-9.672538592
,2.495,"Invalid ISBN Provided"
9781781771785,9.995,-1,-15.259707865,0,-14.205,0,-14.205,0,-14.205,0,-14.205,0,-14.205,0,-14.205,0,-14.205,0,-14.205,0,-14.205
9781474851817,1.745,"1,880,480",-6.033717147,-1,-6.113965315,"2,094,060",-6.284492672,"715,511",-6.284492672,"692,394",-6.284492672,-1,-6.284492672,-1,-6.284492672,"237,593",-6.284492672,-1,-6.284492672,-1,-6.284492672
9781401946067,3.495,"696,610",-0.704879824,"601,989",5.03075752,-1,4.147049376,"1,175,740",7.130549376,-1,6.289049376,-1,6.663049376,-1,6.663049376,-1,184.704049376,-1,-9.452950624,-1,6.654549376
043396059207,2.995,"35,622",-7.276772594,"34,813",-7.34908413,"290,022",-7.502746144,-1,-7.502746144,"385,138",-7.502746144,-1,-7.502746144,-1,-7.502746144,"31,377",-7.502746144,0,-7.205,-1,-7.502746144
9781608636921,2.995,"11,601",-8.248905227,"45,684",-8.540796915,"410,180",-9.161066752,-1,-9.161066752,-1,-9.161066752,-1,-9.161066752,-1,-9.161066752,0,-7.205,-1,-9.161066752,-1,-9.161066752
9781610046480,4.995,"580,815",-9.441127015,"1,235,238",-9.701272175,"2,148,139",-10.25408064,"699,349",-10.25408064,"1,384,462",-10.25408064,"1,317,901",-10.25408064,"898,187",-10.25408064,-1,268.49491936,-1,-10.25408064,-1,-10.25408064
9781250130808,4.995,"37,099",2.032210308,"138,565",8.14045066,"809,469",3.975961408,"812,136",2.326961408,"539,975",7.698961408,-1,7.817961408,"300,189",7.817961408,"180,062",-11.672538592,-1,-11.672538592,"394,316",11.362461408
9781634505604,2.995,"1,113,544",1.938761114,-1,-8.58544047,"1,428,361",-0.756306336,"1,244,332",0.365693664,-1,2.380193664,-1,1.895693664,-1,1.895693664,-1,201.356693664,-1,-9.256306336,-1,6.196693664
9781936096831,2.495,"320,009",7.43298852,"153,560",7.8184754,"326,980",3.70444752,"506,429",3.47494752,"650,185",5.08994752,"428,873",5.90594752,"648,961",5.68494752,"331,519",-9.04555248,"234,785",-9.04555248,-1,8.76194752
9781908273772,4.995,"1,282,598",3.130613337,"2,853,603",14.477742865,"747,797",-0.345981888,"506,203",3.351518112,"348,134",3.241018112,"1,122,765",4.618018112,-1,4.482018112,-1,-14.472981888,-1,-14.472981888,-1,9.854018112
9781784284466,3.495,-1,-7.712728383,0,-7.705,0,-7.705,0,-7.705,0,-7.705,0,-7.705,0,-7.705,0,-7.705,0,-7.705,0,-7.705
9780300158717,2.995,"1,567,301",54.526852223,"2,036,936",78.880183335,"5,954,500",44.718324448,"2,441,952",27.709824448,"802,009",43.647324448,-1,44.726824448,"1,171,935",42.491324448,-1,-9.690175552,-1,-9.690175552,"209,339",84.804324448
9780785820574,3.495,"2,095,642",-4.204259648,-1,-0.04298496,"5,845,086",-10.412401248,-1,-3.187401248,-1,-2.677401248,-1,-3.391401248,-1,-10.412401248,-1,-10.412401248,-1,-10.412401248,-1,-0.212401248
,1.495,"Invalid ISBN Provided"
9781621534815,3.995,"1,252,842",8.911761114,"2,040,273",23.29255953,"1,536,049",6.743693664,"1,703,151",11.843693664,-1,13.016693664,-1,12.464193664,-1,12.464193664,-1,366.531693664,"555,757",-10.256306336,-1,19.476693664
9788861303461,9.995,"1,550,112",-18.491883243,"4,436,614",-19.884321235,"1,576,493",-22.843251968,"1,231,191",-22.843251968,"1,050,925",-22.843251968,"1,513,591",-22.843251968,-1,-22.843251968,-1,-22.843251968,-1,-22.843251968,"1,313,213",-22.843251968
9781846814747,3.495,"2,507,982",-10.524310454,-1,-11.10809383,"963,645",-12.348633504,-1,-12.348633504,-1,-12.348633504,-1,-12.348633504,-1,-12.348633504,0,-7.705,0,-7.705,-1,-12.348633504
9780544273733,2.995,"750,758",2.022842941,"288,045",-8.368836555,"2,145,368",-8.794217984,"632,710",-6.822217984,"3,131,004",-0.693717984,"1,007,709",-6.397217984,"1,137,544",-6.235717984,"196,925",202.328782016,-1,-8.794217984,-1,-8.794217984
9780300218640,7.495,"989,072",15.116083293,"947,728",25.290678485,"1,027,825",17.275380768,"382,514",18.456880768,"432,609",29.999880768,"166,875",15.787880768,"194,445",23.344380768,-1,290.031880768,"1,102,437",-16.733119232,"161,176",30.373880768
9788857207834,2.495,"3,711,901",-6.913348803,"3,865,752",-7.141747435,"3,554,131",5.938905472,"2,645,839",12.288405472,-1,11.999405472,-1,6.831405472,-1,9.381405472,-1,-7.627094528,-1,-7.627094528,-1,-7.627094528
9781597808330,2.995,"772,717",0.978261114,"368,599",10.42905953,"3,329,176",1.445193664,-1,2.643693664,-1,2.958193664,-1,2.303693664,-1,2.303693664,-1,181.143693664,-1,-9.256306336,-1,7.361193664
9781786645579,4.995,"1,319,954",3.862814363,-1,15.328673635,"1,936,242",-3.855062912,"1,968,986",1.499937088,-1,-2.087062912,-1,-2.860562912,-1,-2.894562912,-1,-15.636062912,-1,-15.636062912,-1,6.880437088
