ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9780439666930,,-1,-2.6,-1,-2.6,"7,125,813",-2.6,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
640783005955,,"Invalid ISBN Provided"
9781890768102,,"7,870,647",-6.01,"4,583,122",-6.31,"10,475,668",-7.41,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9780553290110,,"5,296,819",-3.11,"610,086",6.15,"3,700,766",-3.11,"425,377",3.28,"912,886",2.71,"1,376,711",3.1,-1,3.1,0,-1.8,0,-1.8,"2,298,007",5.04
076783006997,,"84,161",-3.1077133,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
076714002951,,"6,176,244",-2.3203113,0,-1.8,"8,969,683",-2.3203113,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,-1,-2.3203113
9780440235590,,"4,026,240",-3.23,"1,333,288",-3.42,"3,996,084",-3.42,"108,561",2.53,"85,377",3.5,"274,643",3.61,"684,262",7.15,0,-1.8,0,-1.8,"487,655",5.82
071009007994,,"68,717",3.0122867,"8,277",6.9902867,"2,603,322",-3.1077133,"83,985",4.1257867,"13,389",3.8792867,"45,659",2.5107867,"99,890",-3.1077133,"16,380",114.7362867,"340,424",-3.1077133,"48,162",6.1487867
071831007995,,"750,441",22.2070342,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9780425205082,,"930,862",0.79,"504,590",2.19,"2,030,472",-7.41,"3,255,639",-7.41,"1,694,866",-7.41,-1,-1.2,"1,127,586",-7.41,0,-6.94,"1,007,841",-7.41,"1,288,812",0.67
9780515142112,,"1,227,436",-2.99,"575,105",-2.99,"2,047,103",-2.99,"376,550",-2.99,"376,199",-2.99,"1,413,656",-2.99,"628,853",-2.99,0,-1.8,"615,154",-2.99,"1,810,378",-2.99
9780786884599,,"144,695",4.82,"272,945",13.35,"3,202,640",-2.71,"688,246",4.33,"1,435,136",5.4,-1,5.34,"1,378,539",5.25,-1,142.34,"38,151",-2.71,"215,699",-2.71
9780373180578,,"1,858,443",-2.99,"1,487,303",-2.99,"1,230,972",-2.99,"1,689,106",-2.99,"2,192,055",-2.99,-1,-2.99,-1,-2.99,-1,86.53,-1,-2.99,"1,979,953",-2.99
9780373180578,,"1,858,443",-2.99,"1,487,303",-2.99,"1,230,972",-2.99,"1,689,106",-2.99,"2,192,055",-2.99,-1,-2.99,-1,-2.99,-1,86.53,-1,-2.99,"1,979,953",-2.99
9780446357449,,"3,829,663",-2.56,"206,656",5.71,-1,-2.56,-1,-2.56,"279,447",2.95,-1,-2.56,"985,106",7.02,0,-1.8,"517,310",-3.23,"1,061",4.96
9780446357449,,"3,829,663",-2.56,"206,656",5.71,-1,-2.56,-1,-2.56,"279,447",2.95,-1,-2.56,"985,106",7.02,0,-1.8,"517,310",-3.23,"1,061",4.96
9781439133545,,"134,842",3.95,"428,516",5.48,"578,834",3.1,"205,672",4.81,"172,629",3.29,"813,044",4.57,"296,648",4.57,0,-1.8,0,-1.8,"788,817",-3.7
9780439916332,,"784,338",2.74,"1,720,334",3.59,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,-1,92.36,-1,-2.36,"2,129,394",3.66
9781595549990,,"902,188",9.33,"1,366,039",14.09,"1,985,879",5.59,-1,3.21,"189,407",8.84,-1,-2.91,-1,7.01,-1,232.95,-1,-2.91,-1,12.83
9780452260115,,"723,097",-2.71,"3,823,066",-2.71,"1,594,139",-2.71,"288,163",-2.71,0,-1.8,-1,-2.71,"1,032,413",-2.71,0,-1.8,-1,-2.71,"1,664,762",-2.71
9780316693257,,"1,923,102",-3.3,"114,222",-3.3,"2,262,753",-3.3,"3,519,960",-3.3,"1,949,268",-3.3,-1,-3.3,-1,-3.3,0,-1.8,"1,048,026",-3.3,"2,372,777",-3.3
9780449909126,,"235,112",11.86,"1,869,900",15.93,"279,256",6.59,"1,007,209",11,"649,876",10.61,"1,567,244",10.63,-1,10.63,0,-1.8,"1,108,572",-2.6,"1,400,238",12.44
9780312547325,,"611,276",-3.42,"2,016,509",-3.42,"3,343,098",54.02,-1,61.93,-1,61.01,-1,64.66,-1,64.66,-1,-3.42,"896,446",-3.42,"1,169,587",-3.42
9780152025656,,"1,075,842",4.2,"881,077",-2.6,"1,737,968",-2.6,"3,396,734",-2.6,"2,277,615",-2.6,-1,-2.6,-1,-2.6,0,-1.8,0,-1.8,"772,567",-2.6
078073002504,,"2,167,807",-1.0475515,"2,859,987",-2.3990515,"7,620,743",-2.3990515,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,-1,-2.3990515,0,-1.8
078073003501,,"861,871",-2.5565319,-1,-2.5565319,"6,561,362",-2.5565319,0,-1.8,0,-1.8,-1,-2.5565319,-1,-2.5565319,0,-1.8,0,-1.8,"762,939",-2.5565319
078073003501,,"861,871",-2.5565319,-1,-2.5565319,"6,561,362",-2.5565319,0,-1.8,0,-1.8,-1,-2.5565319,-1,-2.5565319,0,-1.8,0,-1.8,"762,939",-2.5565319
078073003501,,"861,871",-2.5565319,-1,-2.5565319,"6,561,362",-2.5565319,0,-1.8,0,-1.8,-1,-2.5565319,-1,-2.5565319,0,-1.8,0,-1.8,"762,939",-2.5565319
078073002955,,"5,372,022",-2.0053505,"2,071,603",-2.0053505,"5,146,573",-2.0053505,-1,-2.0053505,"546,128",-2.0053505,-1,-2.0053505,-1,-2.0053505,0,-1.8,-1,-2.0053505,"702,653",-2.0053505
9780062376336,,"28,615",4.9091372,"119,779",11.5221372,"3,263,918",-2.9108628,"535,910",5.4106372,"962,664",6.5751372,"183,429",9.4906372,"250,951",9.4906372,"127,842",147.7091372,"179,048",-2.9108628,"235,821",6.4136372
9780517884942,,"353,233",-3.3045638,"282,795",-3.3045638,"820,676",-3.3045638,"489,581",-3.3045638,"466,443",-3.3045638,"930,907",-3.3045638,-1,-3.3045638,-1,-3.3045638,0,-1.8,"846,634",-3.3045638
9780671016784,,"657,643",-3.3045638,"700,115",-3.3045638,"1,896,871",-3.3045638,"2,604,355",-3.3045638,0,-1.8,-1,-3.3045638,-1,-3.3045638,0,-1.8,0,-1.8,-1,-3.3045638
9780842332262,,"741,065",-3.5014143,"31,358",-3.5014143,"696,996",-3.5014143,"881,083",-3.5014143,"768,712",-3.5014143,"803,442",-3.5014143,-1,-3.5014143,0,-1.8,-1,-3.5014143,"1,092,803",-3.5014143
9780794406035,,"194,414",-2.0053505,"3,633,465",-2.0053505,"9,108,731",-2.0053505,0,-1.8,0,-1.8,-1,-2.0053505,0,-1.8,0,-1.8,-1,-2.0053505,-1,-2.0053505
9780545003926,,"798,943",-2.0053505,"1,166,739",2.5846495,"8,121,607",-2.0053505,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,"2,103,376",-2.0053505
